Method     GS           sing         trip
CISD/RHF  -11.3287     -10.8183     -11.0825  
CISD/MR   -11.3400     -11.0623      NaN
RCCSD(T)  -11.3766(3)   NaN         -11.1308(5)
CCSDT(Q)  -11.3782(3)   NaN         -11.1336(5)
DMC/HF    -11.3708(2)  -11.0855(2)  -11.1215(2) 
DMC/DFT   -11.3725(2)  -11.0934(2)  -11.1248(2)
