Method      GS           vert_sing   vert_trip    adia_sing   adia_trip
CISD/RHF   -4.99438     -4.83224    -4.95106     -4.84958    -4.96533    
CISDT/RHF  -4.99862     -4.90946    -4.95583     -4.92695    -4.96979 
CIPSI      -5.00669     -4.91874    -4.96039     -4.93590    -4.97406 
RCCSD(T)   -5.00627(9)   NaN        -4.95958(8)   NaN        -4.97339(8)
CCSDT(Q)   -5.00726(9)   NaN        -4.96088(8)   NaN        -4.97456(8)
DMC/DFT    -5.0026(1)   -4.9136(1)  -4.9579(1)   -4.9317(1)  -4.9718(1)
Exp         0.0          NaN         NaN       15547.7730(93) 7341.36

