0: output to qw.nodes.o
Read took 0 seconds
Using these electron positions:
       1 1.4584 2.4544 -1.7337
       2 -1.0331 1.1848 -0.93059
       3 2.0525 1.9266 2.7606
       4 -1.4475 -2.0525 1.3212
       5 -2.9644 0.19734 0.40321
       6 0.015882 1.326 2.4794
       7 2.0191 -2.3011 -0.78959
       8 -1.0743 2.6563 -1.2416
writing to qw.nodes.xyz
Using translation vector(s): 
( 1 , 1 , 1 )
x   4.2413, max. value +3.15540e-11, min. value -1.74810e-09
x   4.2915, max. value +2.88379e-11, min. value -1.58694e-09
x   4.3417, max. value +2.63394e-11, min. value -1.44060e-09
x   4.3919, max. value +2.40660e-11, min. value -1.30773e-09
x   4.4421, max. value +2.19754e-11, min. value -1.18709e-09
x   4.4923, max. value +2.00725e-11, min. value -1.07756e-09
x   4.5425, max. value +1.83232e-11, min. value -9.78121e-10
x   4.5927, max. value +1.67241e-11, min. value -8.87845e-10
x   4.6429, max. value +1.52585e-11, min. value -8.05891e-10
x   4.6931, max. value +1.39168e-11, min. value -7.31492e-10
x   4.7432, max. value +1.26898e-11, min. value -6.63953e-10
x   4.7934, max. value +1.15628e-11, min. value -6.02643e-10
x   4.8436, max. value +1.05351e-11, min. value -5.46989e-10
x   4.8938, max. value +9.59024e-12, min. value -4.96468e-10
x    4.944, max. value +8.73018e-12, min. value -4.50608e-10
x   4.9942, max. value +7.94043e-12, min. value -4.08980e-10
x   5.0444, max. value +7.21974e-12, min. value -3.71193e-10
x   5.0946, max. value +6.56010e-12, min. value -3.36894e-10
x   5.1448, max. value +5.95757e-12, min. value -3.05761e-10
x    5.195, max. value +5.40793e-12, min. value -2.77507e-10
x   5.2452, max. value +4.90544e-12, min. value -2.51862e-10
x   5.2954, max. value +4.44800e-12, min. value -2.28585e-10
x   5.3456, max. value +4.02973e-12, min. value -2.07457e-10
x   5.3958, max. value +3.65012e-12, min. value -1.88280e-10
x   5.4459, max. value +3.30327e-12, min. value -1.70874e-10
x   5.4961, max. value +2.98873e-12, min. value -1.55077e-10
x   5.5463, max. value +2.70157e-12, min. value -1.40741e-10
x   5.5965, max. value +2.44176e-12, min. value -1.27730e-10
x   5.6467, max. value +2.20503e-12, min. value -1.15923e-10
x   5.6969, max. value +1.99077e-12, min. value -1.05209e-10
x   5.7471, max. value +1.79592e-12, min. value -9.54857e-11
x   5.7973, max. value +1.61978e-12, min. value -8.66629e-11
x   5.8475, max. value +1.46007e-12, min. value -7.86572e-11
x   5.8977, max. value +1.31548e-12, min. value -7.13932e-11
x   5.9479, max. value +1.18479e-12, min. value -6.48025e-11
x   5.9981, max. value +1.06644e-12, min. value -5.88228e-11
x   6.0483, max. value +9.59877e-13, min. value -5.33976e-11
x   6.0985, max. value +8.63284e-13, min. value -4.84756e-11
x   6.1486, max. value +7.76413e-13, min. value -4.40104e-11
x   6.1988, max. value +6.97961e-13, min. value -3.99597e-11
x    6.249, max. value +6.27153e-13, min. value -3.62849e-11
x   6.2992, max. value +5.63482e-13, min. value -3.29511e-11
x   6.3494, max. value +5.06025e-13, min. value -2.99266e-11
x   6.3996, max. value +4.54389e-13, min. value -2.71827e-11
x   6.4498, max. value +4.07868e-13, min. value -2.46932e-11
x      6.5, max. value +3.65971e-13, min. value -2.24346e-11
saving data for 2 3D projections of wavefunction
writing to qw.nodes.orb.1with6.cube
End of Nodes Method
