0: output to qw.dmc.o
1709: Timestep is 1.15600183823529
75: Timestep is 1.15600183823529
560: Timestep is 1.15600183823529
866: Timestep is 1.15600183823529
1148: Timestep is 1.15600183823529
1712: Timestep is 1.15600183823529
1952: Timestep is 1.15600183823529
84: Timestep is 1.15600183823529
1427: Timestep is 1.15600183823529
561: Timestep is 1.15600183823529
1956: Timestep is 1.15600183823529
1437: Timestep is 1.15600183823529
337: Timestep is 1.15600183823529
1438: Timestep is 1.15600183823529
338: Timestep is 1.15600183823529
1445: Timestep is 1.15600183823529
563: Timestep is 1.15600183823529
1447: Timestep is 1.15600183823529
339: Timestep is 1.15600183823529
1451: Timestep is 1.15600183823529
1154: Timestep is 1.15600183823529
344: Timestep is 1.15600183823529
564: Timestep is 1.15600183823529
1958: Timestep is 1.15600183823529
86: Timestep is 1.15600183823529
876: Timestep is 1.15600183823529
1718: Timestep is 1.15600183823529
1161: Timestep is 1.15600183823529
565: Timestep is 1.15600183823529
346: Timestep is 1.15600183823529
87: Timestep is 1.15600183823529
880: Timestep is 1.15600183823529
1162: Timestep is 1.15600183823529
1719: Timestep is 1.15600183823529
1962: Timestep is 1.15600183823529
89: Timestep is 1.15600183823529
569: Timestep is 1.15600183823529
351: Timestep is 1.15600183823529
882: Timestep is 1.15600183823529
1165: Timestep is 1.15600183823529
1727: Timestep is 1.15600183823529
1965: Timestep is 1.15600183823529
91: Timestep is 1.15600183823529
885: Timestep is 1.15600183823529
1171: Timestep is 1.15600183823529
1729: Timestep is 1.15600183823529
1966: Timestep is 1.15600183823529
92: Timestep is 1.15600183823529
570: Timestep is 1.15600183823529
357: Timestep is 1.15600183823529
886: Timestep is 1.15600183823529
1735: Timestep is 1.15600183823529
1968: Timestep is 1.15600183823529
571: Timestep is 1.15600183823529
1181: Timestep is 1.15600183823529
93: Timestep is 1.15600183823529
574: Timestep is 1.15600183823529
889: Timestep is 1.15600183823529
1184: Timestep is 1.15600183823529
1737: Timestep is 1.15600183823529
1969: Timestep is 1.15600183823529
94: Timestep is 1.15600183823529
1454: Timestep is 1.15600183823529
1744: Timestep is 1.15600183823529
359: Timestep is 1.15600183823529
1457: Timestep is 1.15600183823529
1463: Timestep is 1.15600183823529
1474: Timestep is 1.15600183823529
1477: Timestep is 1.15600183823529
368: Timestep is 1.15600183823529
1478: Timestep is 1.15600183823529
1479: Timestep is 1.15600183823529
575: Timestep is 1.15600183823529
371: Timestep is 1.15600183823529
890: Timestep is 1.15600183823529
1185: Timestep is 1.15600183823529
1751: Timestep is 1.15600183823529
1974: Timestep is 1.15600183823529
96: Timestep is 1.15600183823529
577: Timestep is 1.15600183823529
372: Timestep is 1.15600183823529
891: Timestep is 1.15600183823529
1187: Timestep is 1.15600183823529
1756: Timestep is 1.15600183823529
1976: Timestep is 1.15600183823529
98: Timestep is 1.15600183823529
893: Timestep is 1.15600183823529
1190: Timestep is 1.15600183823529
1762: Timestep is 1.15600183823529
1978: Timestep is 1.15600183823529
99: Timestep is 1.15600183823529
579: Timestep is 1.15600183823529
384: Timestep is 1.15600183823529
894: Timestep is 1.15600183823529
1194: Timestep is 1.15600183823529
1777: Timestep is 1.15600183823529
1981: Timestep is 1.15600183823529
100: Timestep is 1.15600183823529
584: Timestep is 1.15600183823529
388: Timestep is 1.15600183823529
895: Timestep is 1.15600183823529
1196: Timestep is 1.15600183823529
1782: Timestep is 1.15600183823529
1992: Timestep is 1.15600183823529
101: Timestep is 1.15600183823529
588: Timestep is 1.15600183823529
390: Timestep is 1.15600183823529
897: Timestep is 1.15600183823529
1197: Timestep is 1.15600183823529
1995: Timestep is 1.15600183823529
103: Timestep is 1.15600183823529
590: Timestep is 1.15600183823529
900: Timestep is 1.15600183823529
1199: Timestep is 1.15600183823529
1783: Timestep is 1.15600183823529
106: Timestep is 1.15600183823529
1487: Timestep is 1.15600183823529
592: Timestep is 1.15600183823529
1998: Timestep is 1.15600183823529
393: Timestep is 1.15600183823529
1791: Timestep is 1.15600183823529
1489: Timestep is 1.15600183823529
1200: Timestep is 1.15600183823529
107: Timestep is 1.15600183823529
1201: Timestep is 1.15600183823529
112: Timestep is 1.15600183823529
1490: Timestep is 1.15600183823529
593: Timestep is 1.15600183823529
394: Timestep is 1.15600183823529
1208: Timestep is 1.15600183823529
119: Timestep is 1.15600183823529
1495: Timestep is 1.15600183823529
1211: Timestep is 1.15600183823529
126: Timestep is 1.15600183823529
1496: Timestep is 1.15600183823529
594: Timestep is 1.15600183823529
395: Timestep is 1.15600183823529
1214: Timestep is 1.15600183823529
2002: Timestep is 1.15600183823529
127: Timestep is 1.15600183823529
1497: Timestep is 1.15600183823529
595: Timestep is 1.15600183823529
397: Timestep is 1.15600183823529
1216: Timestep is 1.15600183823529
135: Timestep is 1.15600183823529
1511: Timestep is 1.15600183823529
600: Timestep is 1.15600183823529
403: Timestep is 1.15600183823529
902: Timestep is 1.15600183823529
1221: Timestep is 1.15600183823529
136: Timestep is 1.15600183823529
601: Timestep is 1.15600183823529
406: Timestep is 1.15600183823529
1224: Timestep is 1.15600183823529
604: Timestep is 1.15600183823529
416: Timestep is 1.15600183823529
2004: Timestep is 1.15600183823529
606: Timestep is 1.15600183823529
1792: Timestep is 1.15600183823529
418: Timestep is 1.15600183823529
907: Timestep is 1.15600183823529
2005: Timestep is 1.15600183823529
141: Timestep is 1.15600183823529
609: Timestep is 1.15600183823529
915: Timestep is 1.15600183823529
1794: Timestep is 1.15600183823529
2016: Timestep is 1.15600183823529
1519: Timestep is 1.15600183823529
917: Timestep is 1.15600183823529
1227: Timestep is 1.15600183823529
1797: Timestep is 1.15600183823529
2017: Timestep is 1.15600183823529
923: Timestep is 1.15600183823529
1798: Timestep is 1.15600183823529
2018: Timestep is 1.15600183823529
144: Timestep is 1.15600183823529
924: Timestep is 1.15600183823529
1805: Timestep is 1.15600183823529
2019: Timestep is 1.15600183823529
926: Timestep is 1.15600183823529
1831: Timestep is 1.15600183823529
1531: Timestep is 1.15600183823529
1233: Timestep is 1.15600183823529
1839: Timestep is 1.15600183823529
153: Timestep is 1.15600183823529
927: Timestep is 1.15600183823529
1843: Timestep is 1.15600183823529
2023: Timestep is 1.15600183823529
1561: Timestep is 1.15600183823529
612: Timestep is 1.15600183823529
177: Timestep is 1.15600183823529
419: Timestep is 1.15600183823529
1237: Timestep is 1.15600183823529
614: Timestep is 1.15600183823529
1848: Timestep is 1.15600183823529
2024: Timestep is 1.15600183823529
1565: Timestep is 1.15600183823529
421: Timestep is 1.15600183823529
932: Timestep is 1.15600183823529
1241: Timestep is 1.15600183823529
182: Timestep is 1.15600183823529
616: Timestep is 1.15600183823529
1849: Timestep is 1.15600183823529
1569: Timestep is 1.15600183823529
430: Timestep is 1.15600183823529
934: Timestep is 1.15600183823529
1253: Timestep is 1.15600183823529
2026: Timestep is 1.15600183823529
195: Timestep is 1.15600183823529
618: Timestep is 1.15600183823529
935: Timestep is 1.15600183823529
1256: Timestep is 1.15600183823529
1852: Timestep is 1.15600183823529
2031: Timestep is 1.15600183823529
196: Timestep is 1.15600183823529
1582: Timestep is 1.15600183823529
433: Timestep is 1.15600183823529
936: Timestep is 1.15600183823529
1853: Timestep is 1.15600183823529
2035: Timestep is 1.15600183823529
200: Timestep is 1.15600183823529
620: Timestep is 1.15600183823529
937: Timestep is 1.15600183823529
1855: Timestep is 1.15600183823529
2036: Timestep is 1.15600183823529
203: Timestep is 1.15600183823529
1606: Timestep is 1.15600183823529
624: Timestep is 1.15600183823529
436: Timestep is 1.15600183823529
938: Timestep is 1.15600183823529
1862: Timestep is 1.15600183823529
1616: Timestep is 1.15600183823529
625: Timestep is 1.15600183823529
438: Timestep is 1.15600183823529
939: Timestep is 1.15600183823529
1631: Timestep is 1.15600183823529
628: Timestep is 1.15600183823529
443: Timestep is 1.15600183823529
631: Timestep is 1.15600183823529
632: Timestep is 1.15600183823529
1257: Timestep is 1.15600183823529
1863: Timestep is 1.15600183823529
2037: Timestep is 1.15600183823529
445: Timestep is 1.15600183823529
1266: Timestep is 1.15600183823529
1267: Timestep is 1.15600183823529
1880: Timestep is 1.15600183823529
2039: Timestep is 1.15600183823529
446: Timestep is 1.15600183823529
940: Timestep is 1.15600183823529
1270: Timestep is 1.15600183823529
1276: Timestep is 1.15600183823529
1893: Timestep is 1.15600183823529
2050: Timestep is 1.15600183823529
1361: Timestep is 1.15600183823529
452: Timestep is 1.15600183823529
1280: Timestep is 1.15600183823529
2051: Timestep is 1.15600183823529
208: Timestep is 1.15600183823529
1902: Timestep is 1.15600183823529
1363: Timestep is 1.15600183823529
453: Timestep is 1.15600183823529
1295: Timestep is 1.15600183823529
1632: Timestep is 1.15600183823529
2062: Timestep is 1.15600183823529
211: Timestep is 1.15600183823529
635: Timestep is 1.15600183823529
1633: Timestep is 1.15600183823529
2065: Timestep is 1.15600183823529
224: Timestep is 1.15600183823529
1364: Timestep is 1.15600183823529
454: Timestep is 1.15600183823529
1635: Timestep is 1.15600183823529
230: Timestep is 1.15600183823529
1365: Timestep is 1.15600183823529
637: Timestep is 1.15600183823529
455: Timestep is 1.15600183823529
238: Timestep is 1.15600183823529
1366: Timestep is 1.15600183823529
640: Timestep is 1.15600183823529
465: Timestep is 1.15600183823529
240: Timestep is 1.15600183823529
1367: Timestep is 1.15600183823529
645: Timestep is 1.15600183823529
942: Timestep is 1.15600183823529
243: Timestep is 1.15600183823529
647: Timestep is 1.15600183823529
947: Timestep is 1.15600183823529
1296: Timestep is 1.15600183823529
2066: Timestep is 1.15600183823529
649: Timestep is 1.15600183823529
466: Timestep is 1.15600183823529
951: Timestep is 1.15600183823529
953: Timestep is 1.15600183823529
1300: Timestep is 1.15600183823529
1636: Timestep is 1.15600183823529
2071: Timestep is 1.15600183823529
1369: Timestep is 1.15600183823529
652: Timestep is 1.15600183823529
467: Timestep is 1.15600183823529
954: Timestep is 1.15600183823529
1306: Timestep is 1.15600183823529
2078: Timestep is 1.15600183823529
957: Timestep is 1.15600183823529
1315: Timestep is 1.15600183823529
959: Timestep is 1.15600183823529
1319: Timestep is 1.15600183823529
2079: Timestep is 1.15600183823529
1324: Timestep is 1.15600183823529
1370: Timestep is 1.15600183823529
468: Timestep is 1.15600183823529
1326: Timestep is 1.15600183823529
1638: Timestep is 1.15600183823529
2081: Timestep is 1.15600183823529
248: Timestep is 1.15600183823529
1639: Timestep is 1.15600183823529
2087: Timestep is 1.15600183823529
250: Timestep is 1.15600183823529
1371: Timestep is 1.15600183823529
654: Timestep is 1.15600183823529
473: Timestep is 1.15600183823529
1640: Timestep is 1.15600183823529
2090: Timestep is 1.15600183823529
261: Timestep is 1.15600183823529
1643: Timestep is 1.15600183823529
262: Timestep is 1.15600183823529
1373: Timestep is 1.15600183823529
655: Timestep is 1.15600183823529
482: Timestep is 1.15600183823529
1644: Timestep is 1.15600183823529
2: Timestep is 1.15600183823529
1374: Timestep is 1.15600183823529
484: Timestep is 1.15600183823529
1645: Timestep is 1.15600183823529
4: Timestep is 1.15600183823529
1375: Timestep is 1.15600183823529
656: Timestep is 1.15600183823529
962: Timestep is 1.15600183823529
5: Timestep is 1.15600183823529
1378: Timestep is 1.15600183823529
963: Timestep is 1.15600183823529
1330: Timestep is 1.15600183823529
2107: Timestep is 1.15600183823529
657: Timestep is 1.15600183823529
969: Timestep is 1.15600183823529
487: Timestep is 1.15600183823529
970: Timestep is 1.15600183823529
1333: Timestep is 1.15600183823529
2108: Timestep is 1.15600183823529
658: Timestep is 1.15600183823529
977: Timestep is 1.15600183823529
1352: Timestep is 1.15600183823529
1647: Timestep is 1.15600183823529
659: Timestep is 1.15600183823529
981: Timestep is 1.15600183823529
1088: Timestep is 1.15600183823529
661: Timestep is 1.15600183823529
983: Timestep is 1.15600183823529
1089: Timestep is 1.15600183823529
1090: Timestep is 1.15600183823529
2111: Timestep is 1.15600183823529
499: Timestep is 1.15600183823529
1648: Timestep is 1.15600183823529
9: Timestep is 1.15600183823529
1649: Timestep is 1.15600183823529
2112: Timestep is 1.15600183823529
10: Timestep is 1.15600183823529
1382: Timestep is 1.15600183823529
665: Timestep is 1.15600183823529
502: Timestep is 1.15600183823529
1650: Timestep is 1.15600183823529
2113: Timestep is 1.15600183823529
11: Timestep is 1.15600183823529
1651: Timestep is 1.15600183823529
2119: Timestep is 1.15600183823529
12: Timestep is 1.15600183823529
1383: Timestep is 1.15600183823529
666: Timestep is 1.15600183823529
503: Timestep is 1.15600183823529
1652: Timestep is 1.15600183823529
2122: Timestep is 1.15600183823529
13: Timestep is 1.15600183823529
1385: Timestep is 1.15600183823529
504: Timestep is 1.15600183823529
1653: Timestep is 1.15600183823529
14: Timestep is 1.15600183823529
1388: Timestep is 1.15600183823529
668: Timestep is 1.15600183823529
512: Timestep is 1.15600183823529
991: Timestep is 1.15600183823529
1092: Timestep is 1.15600183823529
1390: Timestep is 1.15600183823529
517: Timestep is 1.15600183823529
1394: Timestep is 1.15600183823529
1395: Timestep is 1.15600183823529
669: Timestep is 1.15600183823529
992: Timestep is 1.15600183823529
1093: Timestep is 1.15600183823529
2129: Timestep is 1.15600183823529
1396: Timestep is 1.15600183823529
671: Timestep is 1.15600183823529
524: Timestep is 1.15600183823529
993: Timestep is 1.15600183823529
