0: output to qw.tmove.dmc.o
0: Timestep is 1.193125
1905: Timestep is 1.193125
560: Timestep is 1.193125
1098: Timestep is 1.193125
875: Timestep is 1.193125
1360: Timestep is 1.193125
312: Timestep is 1.193125
1699: Timestep is 1.193125
562: Timestep is 1.193125
1366: Timestep is 1.193125
313: Timestep is 1.193125
563: Timestep is 1.193125
1372: Timestep is 1.193125
314: Timestep is 1.193125
641: Timestep is 1.193125
1375: Timestep is 1.193125
1377: Timestep is 1.193125
352: Timestep is 1.193125
642: Timestep is 1.193125
1: Timestep is 1.193125
1379: Timestep is 1.193125
354: Timestep is 1.193125
3: Timestep is 1.193125
4: Timestep is 1.193125
5: Timestep is 1.193125
643: Timestep is 1.193125
355: Timestep is 1.193125
644: Timestep is 1.193125
359: Timestep is 1.193125
1402: Timestep is 1.193125
645: Timestep is 1.193125
6: Timestep is 1.193125
373: Timestep is 1.193125
1405: Timestep is 1.193125
646: Timestep is 1.193125
396: Timestep is 1.193125
1406: Timestep is 1.193125
1411: Timestep is 1.193125
397: Timestep is 1.193125
647: Timestep is 1.193125
399: Timestep is 1.193125
652: Timestep is 1.193125
1412: Timestep is 1.193125
7: Timestep is 1.193125
1736: Timestep is 1.193125
1190: Timestep is 1.193125
1911: Timestep is 1.193125
878: Timestep is 1.193125
424: Timestep is 1.193125
1737: Timestep is 1.193125
1191: Timestep is 1.193125
2080: Timestep is 1.193125
879: Timestep is 1.193125
1417: Timestep is 1.193125
1738: Timestep is 1.193125
1321: Timestep is 1.193125
2084: Timestep is 1.193125
889: Timestep is 1.193125
1739: Timestep is 1.193125
1322: Timestep is 1.193125
2086: Timestep is 1.193125
890: Timestep is 1.193125
1740: Timestep is 1.193125
1323: Timestep is 1.193125
2087: Timestep is 1.193125
891: Timestep is 1.193125
1741: Timestep is 1.193125
1345: Timestep is 1.193125
2088: Timestep is 1.193125
899: Timestep is 1.193125
1418: Timestep is 1.193125
1743: Timestep is 1.193125
1346: Timestep is 1.193125
2089: Timestep is 1.193125
900: Timestep is 1.193125
1744: Timestep is 1.193125
1088: Timestep is 1.193125
2090: Timestep is 1.193125
902: Timestep is 1.193125
8: Timestep is 1.193125
654: Timestep is 1.193125
1746: Timestep is 1.193125
1089: Timestep is 1.193125
2091: Timestep is 1.193125
903: Timestep is 1.193125
9: Timestep is 1.193125
1747: Timestep is 1.193125
1090: Timestep is 1.193125
2118: Timestep is 1.193125
920: Timestep is 1.193125
10: Timestep is 1.193125
1804: Timestep is 1.193125
1091: Timestep is 1.193125
2165: Timestep is 1.193125
922: Timestep is 1.193125
11: Timestep is 1.193125
425: Timestep is 1.193125
660: Timestep is 1.193125
1805: Timestep is 1.193125
1092: Timestep is 1.193125
2168: Timestep is 1.193125
923: Timestep is 1.193125
1807: Timestep is 1.193125
1093: Timestep is 1.193125
1904: Timestep is 1.193125
924: Timestep is 1.193125
430: Timestep is 1.193125
1857: Timestep is 1.193125
663: Timestep is 1.193125
1906: Timestep is 1.193125
1425: Timestep is 1.193125
1094: Timestep is 1.193125
925: Timestep is 1.193125
12: Timestep is 1.193125
1858: Timestep is 1.193125
431: Timestep is 1.193125
664: Timestep is 1.193125
1907: Timestep is 1.193125
13: Timestep is 1.193125
1428: Timestep is 1.193125
1095: Timestep is 1.193125
927: Timestep is 1.193125
1859: Timestep is 1.193125
433: Timestep is 1.193125
665: Timestep is 1.193125
1908: Timestep is 1.193125
15: Timestep is 1.193125
1441: Timestep is 1.193125
1096: Timestep is 1.193125
940: Timestep is 1.193125
1889: Timestep is 1.193125
434: Timestep is 1.193125
1443: Timestep is 1.193125
666: Timestep is 1.193125
1890: Timestep is 1.193125
1097: Timestep is 1.193125
1909: Timestep is 1.193125
941: Timestep is 1.193125
16: Timestep is 1.193125
435: Timestep is 1.193125
667: Timestep is 1.193125
943: Timestep is 1.193125
17: Timestep is 1.193125
1445: Timestep is 1.193125
1099: Timestep is 1.193125
1910: Timestep is 1.193125
444: Timestep is 1.193125
669: Timestep is 1.193125
1891: Timestep is 1.193125
1447: Timestep is 1.193125
1100: Timestep is 1.193125
1912: Timestep is 1.193125
948: Timestep is 1.193125
18: Timestep is 1.193125
671: Timestep is 1.193125
1632: Timestep is 1.193125
445: Timestep is 1.193125
1633: Timestep is 1.193125
1101: Timestep is 1.193125
1913: Timestep is 1.193125
949: Timestep is 1.193125
19: Timestep is 1.193125
464: Timestep is 1.193125
672: Timestep is 1.193125
1634: Timestep is 1.193125
1102: Timestep is 1.193125
1914: Timestep is 1.193125
951: Timestep is 1.193125
