0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
832: Timestep is 1.78867
229: Timestep is 1.78867
370: Timestep is 1.78867
772: Timestep is 1.78867
301: Timestep is 1.78867
513: Timestep is 1.78867
1000: Timestep is 1.78867
676: Timestep is 1.78867
177: Timestep is 1.78867
489: Timestep is 1.78867
608: Timestep is 1.78867
4: Timestep is 1.78867
103: Timestep is 1.78867
947: Timestep is 1.78867
398: Timestep is 1.78867
744: Timestep is 1.78867
833: Timestep is 1.78867
230: Timestep is 1.78867
376: Timestep is 1.78867
773: Timestep is 1.78867
302: Timestep is 1.78867
514: Timestep is 1.78867
1005: Timestep is 1.78867
678: Timestep is 1.78867
178: Timestep is 1.78867
493: Timestep is 1.78867
609: Timestep is 1.78867
5: Timestep is 1.78867
104: Timestep is 1.78867
948: Timestep is 1.78867
399: Timestep is 1.78867
746: Timestep is 1.78867
834: Timestep is 1.78867
235: Timestep is 1.78867
378: Timestep is 1.78867
775: Timestep is 1.78867
307: Timestep is 1.78867
515: Timestep is 1.78867
1006: Timestep is 1.78867
680: Timestep is 1.78867
179: Timestep is 1.78867
500: Timestep is 1.78867
610: Timestep is 1.78867
6: Timestep is 1.78867
107: Timestep is 1.78867
950: Timestep is 1.78867
400: Timestep is 1.78867
750: Timestep is 1.78867
835: Timestep is 1.78867
236: Timestep is 1.78867
379: Timestep is 1.78867
777: Timestep is 1.78867
309: Timestep is 1.78867
516: Timestep is 1.78867
1008: Timestep is 1.78867
683: Timestep is 1.78867
180: Timestep is 1.78867
504: Timestep is 1.78867
613: Timestep is 1.78867
7: Timestep is 1.78867
109: Timestep is 1.78867
951: Timestep is 1.78867
401: Timestep is 1.78867
752: Timestep is 1.78867
837: Timestep is 1.78867
239: Timestep is 1.78867
380: Timestep is 1.78867
778: Timestep is 1.78867
310: Timestep is 1.78867
517: Timestep is 1.78867
1011: Timestep is 1.78867
685: Timestep is 1.78867
181: Timestep is 1.78867
506: Timestep is 1.78867
615: Timestep is 1.78867
8: Timestep is 1.78867
115: Timestep is 1.78867
952: Timestep is 1.78867
402: Timestep is 1.78867
753: Timestep is 1.78867
839: Timestep is 1.78867
240: Timestep is 1.78867
381: Timestep is 1.78867
779: Timestep is 1.78867
317: Timestep is 1.78867
518: Timestep is 1.78867
1012: Timestep is 1.78867
686: Timestep is 1.78867
185: Timestep is 1.78867
507: Timestep is 1.78867
617: Timestep is 1.78867
9: Timestep is 1.78867
119: Timestep is 1.78867
957: Timestep is 1.78867
403: Timestep is 1.78867
760: Timestep is 1.78867
840: Timestep is 1.78867
242: Timestep is 1.78867
382: Timestep is 1.78867
780: Timestep is 1.78867
318: Timestep is 1.78867
519: Timestep is 1.78867
1014: Timestep is 1.78867
688: Timestep is 1.78867
189: Timestep is 1.78867
508: Timestep is 1.78867
620: Timestep is 1.78867
10: Timestep is 1.78867
64: Timestep is 1.78867
958: Timestep is 1.78867
405: Timestep is 1.78867
761: Timestep is 1.78867
841: Timestep is 1.78867
245: Timestep is 1.78867
383: Timestep is 1.78867
781: Timestep is 1.78867
319: Timestep is 1.78867
520: Timestep is 1.78867
1018: Timestep is 1.78867
689: Timestep is 1.78867
129: Timestep is 1.78867
448: Timestep is 1.78867
621: Timestep is 1.78867
11: Timestep is 1.78867
65: Timestep is 1.78867
896: Timestep is 1.78867
406: Timestep is 1.78867
763: Timestep is 1.78867
842: Timestep is 1.78867
247: Timestep is 1.78867
321: Timestep is 1.78867
782: Timestep is 1.78867
256: Timestep is 1.78867
521: Timestep is 1.78867
1020: Timestep is 1.78867
692: Timestep is 1.78867
130: Timestep is 1.78867
449: Timestep is 1.78867
622: Timestep is 1.78867
13: Timestep is 1.78867
68: Timestep is 1.78867
897: Timestep is 1.78867
