0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
647: Timestep is 1.73085
364: Timestep is 1.73085
876: Timestep is 1.73085
1705: Timestep is 1.73085
1456: Timestep is 1.73085
77: Timestep is 1.73085
1710: Timestep is 1.73085
1457: Timestep is 1.73085
1713: Timestep is 1.73085
648: Timestep is 1.73085
1458: Timestep is 1.73085
1718: Timestep is 1.73085
79: Timestep is 1.73085
1459: Timestep is 1.73085
650: Timestep is 1.73085
89: Timestep is 1.73085
877: Timestep is 1.73085
1726: Timestep is 1.73085
1968: Timestep is 1.73085
368: Timestep is 1.73085
93: Timestep is 1.73085
884: Timestep is 1.73085
1735: Timestep is 1.73085
1202: Timestep is 1.73085
654: Timestep is 1.73085
109: Timestep is 1.73085
885: Timestep is 1.73085
1969: Timestep is 1.73085
655: Timestep is 1.73085
369: Timestep is 1.73085
110: Timestep is 1.73085
888: Timestep is 1.73085
1970: Timestep is 1.73085
657: Timestep is 1.73085
372: Timestep is 1.73085
112: Timestep is 1.73085
890: Timestep is 1.73085
1203: Timestep is 1.73085
1971: Timestep is 1.73085
658: Timestep is 1.73085
374: Timestep is 1.73085
891: Timestep is 1.73085
1972: Timestep is 1.73085
1738: Timestep is 1.73085
1204: Timestep is 1.73085
1977: Timestep is 1.73085
1460: Timestep is 1.73085
377: Timestep is 1.73085
894: Timestep is 1.73085
1739: Timestep is 1.73085
1205: Timestep is 1.73085
1978: Timestep is 1.73085
116: Timestep is 1.73085
1747: Timestep is 1.73085
1207: Timestep is 1.73085
1461: Timestep is 1.73085
388: Timestep is 1.73085
1755: Timestep is 1.73085
1215: Timestep is 1.73085
1465: Timestep is 1.73085
390: Timestep is 1.73085
1756: Timestep is 1.73085
1220: Timestep is 1.73085
1466: Timestep is 1.73085
118: Timestep is 1.73085
1467: Timestep is 1.73085
660: Timestep is 1.73085
1984: Timestep is 1.73085
119: Timestep is 1.73085
895: Timestep is 1.73085
1767: Timestep is 1.73085
1468: Timestep is 1.73085
661: Timestep is 1.73085
391: Timestep is 1.73085
120: Timestep is 1.73085
1992: Timestep is 1.73085
121: Timestep is 1.73085
903: Timestep is 1.73085
1787: Timestep is 1.73085
1996: Timestep is 1.73085
1469: Timestep is 1.73085
662: Timestep is 1.73085
904: Timestep is 1.73085
1790: Timestep is 1.73085
1224: Timestep is 1.73085
664: Timestep is 1.73085
1998: Timestep is 1.73085
124: Timestep is 1.73085
1470: Timestep is 1.73085
392: Timestep is 1.73085
1228: Timestep is 1.73085
667: Timestep is 1.73085
126: Timestep is 1.73085
918: Timestep is 1.73085
1231: Timestep is 1.73085
1999: Timestep is 1.73085
127: Timestep is 1.73085
924: Timestep is 1.73085
1476: Timestep is 1.73085
668: Timestep is 1.73085
395: Timestep is 1.73085
925: Timestep is 1.73085
1233: Timestep is 1.73085
2002: Timestep is 1.73085
1477: Timestep is 1.73085
1236: Timestep is 1.73085
2005: Timestep is 1.73085
1478: Timestep is 1.73085
397: Timestep is 1.73085
1249: Timestep is 1.73085
1480: Timestep is 1.73085
404: Timestep is 1.73085
1256: Timestep is 1.73085
1482: Timestep is 1.73085
1263: Timestep is 1.73085
1484: Timestep is 1.73085
1796: Timestep is 1.73085
1264: Timestep is 1.73085
130: Timestep is 1.73085
932: Timestep is 1.73085
1267: Timestep is 1.73085
2006: Timestep is 1.73085
669: Timestep is 1.73085
406: Timestep is 1.73085
133: Timestep is 1.73085
938: Timestep is 1.73085
1799: Timestep is 1.73085
1273: Timestep is 1.73085
2008: Timestep is 1.73085
134: Timestep is 1.73085
939: Timestep is 1.73085
1807: Timestep is 1.73085
1278: Timestep is 1.73085
1488: Timestep is 1.73085
670: Timestep is 1.73085
408: Timestep is 1.73085
136: Timestep is 1.73085
1808: Timestep is 1.73085
1291: Timestep is 1.73085
2011: Timestep is 1.73085
673: Timestep is 1.73085
139: Timestep is 1.73085
944: Timestep is 1.73085
1809: Timestep is 1.73085
1294: Timestep is 1.73085
674: Timestep is 1.73085
411: Timestep is 1.73085
1811: Timestep is 1.73085
1297: Timestep is 1.73085
2012: Timestep is 1.73085
1490: Timestep is 1.73085
140: Timestep is 1.73085
946: Timestep is 1.73085
1299: Timestep is 1.73085
675: Timestep is 1.73085
418: Timestep is 1.73085
948: Timestep is 1.73085
1303: Timestep is 1.73085
2013: Timestep is 1.73085
1495: Timestep is 1.73085
963: Timestep is 1.73085
1305: Timestep is 1.73085
2016: Timestep is 1.73085
1496: Timestep is 1.73085
676: Timestep is 1.73085
419: Timestep is 1.73085
1812: Timestep is 1.73085
1307: Timestep is 1.73085
2018: Timestep is 1.73085
1498: Timestep is 1.73085
679: Timestep is 1.73085
424: Timestep is 1.73085
1308: Timestep is 1.73085
1503: Timestep is 1.73085
681: Timestep is 1.73085
438: Timestep is 1.73085
1313: Timestep is 1.73085
1505: Timestep is 1.73085
1813: Timestep is 1.73085
1314: Timestep is 1.73085
141: Timestep is 1.73085
968: Timestep is 1.73085
1323: Timestep is 1.73085
2020: Timestep is 1.73085
684: Timestep is 1.73085
443: Timestep is 1.73085
142: Timestep is 1.73085
971: Timestep is 1.73085
1814: Timestep is 1.73085
1324: Timestep is 1.73085
146: Timestep is 1.73085
977: Timestep is 1.73085
1828: Timestep is 1.73085
2022: Timestep is 1.73085
685: Timestep is 1.73085
446: Timestep is 1.73085
147: Timestep is 1.73085
1829: Timestep is 1.73085
1506: Timestep is 1.73085
688: Timestep is 1.73085
151: Timestep is 1.73085
1831: Timestep is 1.73085
2024: Timestep is 1.73085
451: Timestep is 1.73085
152: Timestep is 1.73085
984: Timestep is 1.73085
1836: Timestep is 1.73085
696: Timestep is 1.73085
1838: Timestep is 1.73085
1326: Timestep is 1.73085
2026: Timestep is 1.73085
1510: Timestep is 1.73085
458: Timestep is 1.73085
153: Timestep is 1.73085
986: Timestep is 1.73085
1839: Timestep is 1.73085
1339: Timestep is 1.73085
2028: Timestep is 1.73085
697: Timestep is 1.73085
1843: Timestep is 1.73085
1513: Timestep is 1.73085
462: Timestep is 1.73085
991: Timestep is 1.73085
1342: Timestep is 1.73085
2029: Timestep is 1.73085
700: Timestep is 1.73085
155: Timestep is 1.73085
1845: Timestep is 1.73085
1529: Timestep is 1.73085
1016: Timestep is 1.73085
469: Timestep is 1.73085
1343: Timestep is 1.73085
2033: Timestep is 1.73085
1530: Timestep is 1.73085
1846: Timestep is 1.73085
1348: Timestep is 1.73085
707: Timestep is 1.73085
156: Timestep is 1.73085
1847: Timestep is 1.73085
1533: Timestep is 1.73085
475: Timestep is 1.73085
1350: Timestep is 1.73085
1024: Timestep is 1.73085
713: Timestep is 1.73085
157: Timestep is 1.73085
1855: Timestep is 1.73085
1353: Timestep is 1.73085
1534: Timestep is 1.73085
487: Timestep is 1.73085
725: Timestep is 1.73085
2036: Timestep is 1.73085
163: Timestep is 1.73085
1025: Timestep is 1.73085
1856: Timestep is 1.73085
1355: Timestep is 1.73085
1535: Timestep is 1.73085
495: Timestep is 1.73085
2038: Timestep is 1.73085
1536: Timestep is 1.73085
726: Timestep is 1.73085
1026: Timestep is 1.73085
1859: Timestep is 1.73085
1088: Timestep is 1.73085
496: Timestep is 1.73085
2041: Timestep is 1.73085
1538: Timestep is 1.73085
1028: Timestep is 1.73085
1863: Timestep is 1.73085
1089: Timestep is 1.73085
497: Timestep is 1.73085
1539: Timestep is 1.73085
2042: Timestep is 1.73085
1029: Timestep is 1.73085
1865: Timestep is 1.73085
1540: Timestep is 1.73085
2045: Timestep is 1.73085
1030: Timestep is 1.73085
1090: Timestep is 1.73085
168: Timestep is 1.73085
1091: Timestep is 1.73085
1542: Timestep is 1.73085
734: Timestep is 1.73085
173: Timestep is 1.73085
1095: Timestep is 1.73085
1544: Timestep is 1.73085
735: Timestep is 1.73085
174: Timestep is 1.73085
1546: Timestep is 1.73085
499: Timestep is 1.73085
736: Timestep is 1.73085
175: Timestep is 1.73085
1555: Timestep is 1.73085
508: Timestep is 1.73085
737: Timestep is 1.73085
177: Timestep is 1.73085
1556: Timestep is 1.73085
1867: Timestep is 1.73085
510: Timestep is 1.73085
738: Timestep is 1.73085
1037: Timestep is 1.73085
2046: Timestep is 1.73085
1873: Timestep is 1.73085
1561: Timestep is 1.73085
512: Timestep is 1.73085
1038: Timestep is 1.73085
2052: Timestep is 1.73085
1874: Timestep is 1.73085
1096: Timestep is 1.73085
1039: Timestep is 1.73085
2054: Timestep is 1.73085
1098: Timestep is 1.73085
1878: Timestep is 1.73085
1052: Timestep is 1.73085
1880: Timestep is 1.73085
1099: Timestep is 1.73085
2072: Timestep is 1.73085
1567: Timestep is 1.73085
2079: Timestep is 1.73085
1100: Timestep is 1.73085
1570: Timestep is 1.73085
1101: Timestep is 1.73085
2081: Timestep is 1.73085
1571: Timestep is 1.73085
519: Timestep is 1.73085
1102: Timestep is 1.73085
