0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
7: Timestep is 1.82146
356: Timestep is 1.82146
8: Timestep is 1.82146
598: Timestep is 1.82146
1969: Timestep is 1.82146
1259: Timestep is 1.82146
879: Timestep is 1.82146
1708: Timestep is 1.82146
1275: Timestep is 1.82146
599: Timestep is 1.82146
361: Timestep is 1.82146
1286: Timestep is 1.82146
1710: Timestep is 1.82146
1971: Timestep is 1.82146
885: Timestep is 1.82146
1287: Timestep is 1.82146
1711: Timestep is 1.82146
366: Timestep is 1.82146
9: Timestep is 1.82146
1492: Timestep is 1.82146
1972: Timestep is 1.82146
888: Timestep is 1.82146
1712: Timestep is 1.82146
1294: Timestep is 1.82146
367: Timestep is 1.82146
12: Timestep is 1.82146
1496: Timestep is 1.82146
1974: Timestep is 1.82146
1296: Timestep is 1.82146
889: Timestep is 1.82146
1716: Timestep is 1.82146
368: Timestep is 1.82146
13: Timestep is 1.82146
1980: Timestep is 1.82146
1497: Timestep is 1.82146
1304: Timestep is 1.82146
891: Timestep is 1.82146
1722: Timestep is 1.82146
600: Timestep is 1.82146
370: Timestep is 1.82146
19: Timestep is 1.82146
20: Timestep is 1.82146
1982: Timestep is 1.82146
1499: Timestep is 1.82146
892: Timestep is 1.82146
1728: Timestep is 1.82146
601: Timestep is 1.82146
371: Timestep is 1.82146
22: Timestep is 1.82146
1983: Timestep is 1.82146
1507: Timestep is 1.82146
1311: Timestep is 1.82146
893: Timestep is 1.82146
605: Timestep is 1.82146
372: Timestep is 1.82146
25: Timestep is 1.82146
1525: Timestep is 1.82146
894: Timestep is 1.82146
1729: Timestep is 1.82146
27: Timestep is 1.82146
608: Timestep is 1.82146
1986: Timestep is 1.82146
1530: Timestep is 1.82146
1314: Timestep is 1.82146
895: Timestep is 1.82146
1731: Timestep is 1.82146
374: Timestep is 1.82146
1988: Timestep is 1.82146
896: Timestep is 1.82146
609: Timestep is 1.82146
1991: Timestep is 1.82146
898: Timestep is 1.82146
1746: Timestep is 1.82146
375: Timestep is 1.82146
1993: Timestep is 1.82146
901: Timestep is 1.82146
1750: Timestep is 1.82146
379: Timestep is 1.82146
1996: Timestep is 1.82146
907: Timestep is 1.82146
1756: Timestep is 1.82146
380: Timestep is 1.82146
1997: Timestep is 1.82146
908: Timestep is 1.82146
1758: Timestep is 1.82146
384: Timestep is 1.82146
1999: Timestep is 1.82146
916: Timestep is 1.82146
1760: Timestep is 1.82146
385: Timestep is 1.82146
1317: Timestep is 1.82146
920: Timestep is 1.82146
1767: Timestep is 1.82146
386: Timestep is 1.82146
1539: Timestep is 1.82146
1773: Timestep is 1.82146
29: Timestep is 1.82146
921: Timestep is 1.82146
394: Timestep is 1.82146
1329: Timestep is 1.82146
399: Timestep is 1.82146
30: Timestep is 1.82146
1545: Timestep is 1.82146
1334: Timestep is 1.82146
1546: Timestep is 1.82146
31: Timestep is 1.82146
1357: Timestep is 1.82146
615: Timestep is 1.82146
1547: Timestep is 1.82146
36: Timestep is 1.82146
1553: Timestep is 1.82146
1088: Timestep is 1.82146
1789: Timestep is 1.82146
616: Timestep is 1.82146
37: Timestep is 1.82146
1554: Timestep is 1.82146
1092: Timestep is 1.82146
1824: Timestep is 1.82146
621: Timestep is 1.82146
39: Timestep is 1.82146
1094: Timestep is 1.82146
922: Timestep is 1.82146
1828: Timestep is 1.82146
1555: Timestep is 1.82146
401: Timestep is 1.82146
40: Timestep is 1.82146
923: Timestep is 1.82146
1829: Timestep is 1.82146
629: Timestep is 1.82146
402: Timestep is 1.82146
925: Timestep is 1.82146
1830: Timestep is 1.82146
2002: Timestep is 1.82146
407: Timestep is 1.82146
928: Timestep is 1.82146
1841: Timestep is 1.82146
2004: Timestep is 1.82146
408: Timestep is 1.82146
930: Timestep is 1.82146
1842: Timestep is 1.82146
2005: Timestep is 1.82146
409: Timestep is 1.82146
934: Timestep is 1.82146
42: Timestep is 1.82146
2008: Timestep is 1.82146
1563: Timestep is 1.82146
1095: Timestep is 1.82146
634: Timestep is 1.82146
410: Timestep is 1.82146
43: Timestep is 1.82146
2009: Timestep is 1.82146
1564: Timestep is 1.82146
1097: Timestep is 1.82146
2010: Timestep is 1.82146
1566: Timestep is 1.82146
1099: Timestep is 1.82146
411: Timestep is 1.82146
44: Timestep is 1.82146
2011: Timestep is 1.82146
1568: Timestep is 1.82146
1100: Timestep is 1.82146
639: Timestep is 1.82146
45: Timestep is 1.82146
1574: Timestep is 1.82146
1102: Timestep is 1.82146
46: Timestep is 1.82146
935: Timestep is 1.82146
1847: Timestep is 1.82146
640: Timestep is 1.82146
47: Timestep is 1.82146
2016: Timestep is 1.82146
1577: Timestep is 1.82146
1103: Timestep is 1.82146
937: Timestep is 1.82146
412: Timestep is 1.82146
48: Timestep is 1.82146
2017: Timestep is 1.82146
1578: Timestep is 1.82146
1105: Timestep is 1.82146
1855: Timestep is 1.82146
641: Timestep is 1.82146
51: Timestep is 1.82146
939: Timestep is 1.82146
1857: Timestep is 1.82146
415: Timestep is 1.82146
2019: Timestep is 1.82146
1586: Timestep is 1.82146
1106: Timestep is 1.82146
940: Timestep is 1.82146
646: Timestep is 1.82146
53: Timestep is 1.82146
2020: Timestep is 1.82146
1860: Timestep is 1.82146
418: Timestep is 1.82146
1595: Timestep is 1.82146
1107: Timestep is 1.82146
941: Timestep is 1.82146
1862: Timestep is 1.82146
647: Timestep is 1.82146
1108: Timestep is 1.82146
1866: Timestep is 1.82146
420: Timestep is 1.82146
54: Timestep is 1.82146
2022: Timestep is 1.82146
1598: Timestep is 1.82146
942: Timestep is 1.82146
650: Timestep is 1.82146
1109: Timestep is 1.82146
1871: Timestep is 1.82146
422: Timestep is 1.82146
2025: Timestep is 1.82146
654: Timestep is 1.82146
56: Timestep is 1.82146
944: Timestep is 1.82146
423: Timestep is 1.82146
1601: Timestep is 1.82146
2028: Timestep is 1.82146
1111: Timestep is 1.82146
1873: Timestep is 1.82146
655: Timestep is 1.82146
62: Timestep is 1.82146
1602: Timestep is 1.82146
2031: Timestep is 1.82146
1114: Timestep is 1.82146
945: Timestep is 1.82146
1885: Timestep is 1.82146
424: Timestep is 1.82146
63: Timestep is 1.82146
656: Timestep is 1.82146
1603: Timestep is 1.82146
2035: Timestep is 1.82146
1886: Timestep is 1.82146
425: Timestep is 1.82146
2036: Timestep is 1.82146
946: Timestep is 1.82146
658: Timestep is 1.82146
1887: Timestep is 1.82146
426: Timestep is 1.82146
1116: Timestep is 1.82146
2037: Timestep is 1.82146
949: Timestep is 1.82146
427: Timestep is 1.82146
1118: Timestep is 1.82146
65: Timestep is 1.82146
950: Timestep is 1.82146
429: Timestep is 1.82146
2039: Timestep is 1.82146
1119: Timestep is 1.82146
66: Timestep is 1.82146
434: Timestep is 1.82146
660: Timestep is 1.82146
2040: Timestep is 1.82146
1127: Timestep is 1.82146
70: Timestep is 1.82146
2041: Timestep is 1.82146
661: Timestep is 1.82146
1608: Timestep is 1.82146
71: Timestep is 1.82146
2042: Timestep is 1.82146
667: Timestep is 1.82146
1609: Timestep is 1.82146
72: Timestep is 1.82146
2048: Timestep is 1.82146
1892: Timestep is 1.82146
671: Timestep is 1.82146
435: Timestep is 1.82146
1610: Timestep is 1.82146
951: Timestep is 1.82146
2049: Timestep is 1.82146
1894: Timestep is 1.82146
437: Timestep is 1.82146
1613: Timestep is 1.82146
953: Timestep is 1.82146
1128: Timestep is 1.82146
1900: Timestep is 1.82146
439: Timestep is 1.82146
954: Timestep is 1.82146
1130: Timestep is 1.82146
1633: Timestep is 1.82146
440: Timestep is 1.82146
956: Timestep is 1.82146
1131: Timestep is 1.82146
1634: Timestep is 1.82146
442: Timestep is 1.82146
1132: Timestep is 1.82146
957: Timestep is 1.82146
1635: Timestep is 1.82146
672: Timestep is 1.82146
2051: Timestep is 1.82146
1133: Timestep is 1.82146
73: Timestep is 1.82146
1617: Timestep is 1.82146
959: Timestep is 1.82146
1134: Timestep is 1.82146
685: Timestep is 1.82146
444: Timestep is 1.82146
74: Timestep is 1.82146
2052: Timestep is 1.82146
1636: Timestep is 1.82146
75: Timestep is 1.82146
1622: Timestep is 1.82146
961: Timestep is 1.82146
687: Timestep is 1.82146
445: Timestep is 1.82146
77: Timestep is 1.82146
1627: Timestep is 1.82146
1638: Timestep is 1.82146
1365: Timestep is 1.82146
967: Timestep is 1.82146
1639: Timestep is 1.82146
688: Timestep is 1.82146
453: Timestep is 1.82146
1366: Timestep is 1.82146
968: Timestep is 1.82146
1640: Timestep is 1.82146
454: Timestep is 1.82146
970: Timestep is 1.82146
1643: Timestep is 1.82146
459: Timestep is 1.82146
1644: Timestep is 1.82146
460: Timestep is 1.82146
973: Timestep is 1.82146
1136: Timestep is 1.82146
79: Timestep is 1.82146
2054: Timestep is 1.82146
975: Timestep is 1.82146
462: Timestep is 1.82146
80: Timestep is 1.82146
2055: Timestep is 1.82146
1139: Timestep is 1.82146
1645: Timestep is 1.82146
689: Timestep is 1.82146
82: Timestep is 1.82146
2057: Timestep is 1.82146
1367: Timestep is 1.82146
1141: Timestep is 1.82146
463: Timestep is 1.82146
84: Timestep is 1.82146
2059: Timestep is 1.82146
1143: Timestep is 1.82146
976: Timestep is 1.82146
1646: Timestep is 1.82146
85: Timestep is 1.82146
2062: Timestep is 1.82146
1368: Timestep is 1.82146
1144: Timestep is 1.82146
693: Timestep is 1.82146
468: Timestep is 1.82146
86: Timestep is 1.82146
2063: Timestep is 1.82146
1147: Timestep is 1.82146
978: Timestep is 1.82146
1370: Timestep is 1.82146
1148: Timestep is 1.82146
1647: Timestep is 1.82146
471: Timestep is 1.82146
2064: Timestep is 1.82146
979: Timestep is 1.82146
87: Timestep is 1.82146
1371: Timestep is 1.82146
1648: Timestep is 1.82146
694: Timestep is 1.82146
472: Timestep is 1.82146
1372: Timestep is 1.82146
980: Timestep is 1.82146
1373: Timestep is 1.82146
981: Timestep is 1.82146
1649: Timestep is 1.82146
702: Timestep is 1.82146
474: Timestep is 1.82146
1374: Timestep is 1.82146
983: Timestep is 1.82146
1651: Timestep is 1.82146
476: Timestep is 1.82146
1653: Timestep is 1.82146
1149: Timestep is 1.82146
2071: Timestep is 1.82146
1150: Timestep is 1.82146
2073: Timestep is 1.82146
1151: Timestep is 1.82146
88: Timestep is 1.82146
2074: Timestep is 1.82146
1375: Timestep is 1.82146
1155: Timestep is 1.82146
984: Timestep is 1.82146
1654: Timestep is 1.82146
711: Timestep is 1.82146
478: Timestep is 1.82146
89: Timestep is 1.82146
91: Timestep is 1.82146
92: Timestep is 1.82146
93: Timestep is 1.82146
95: Timestep is 1.82146
96: Timestep is 1.82146
2077: Timestep is 1.82146
1376: Timestep is 1.82146
1156: Timestep is 1.82146
987: Timestep is 1.82146
1660: Timestep is 1.82146
715: Timestep is 1.82146
485: Timestep is 1.82146
2079: Timestep is 1.82146
1158: Timestep is 1.82146
2080: Timestep is 1.82146
1377: Timestep is 1.82146
1161: Timestep is 1.82146
989: Timestep is 1.82146
1661: Timestep is 1.82146
729: Timestep is 1.82146
490: Timestep is 1.82146
2081: Timestep is 1.82146
1378: Timestep is 1.82146
990: Timestep is 1.82146
1662: Timestep is 1.82146
737: Timestep is 1.82146
491: Timestep is 1.82146
2085: Timestep is 1.82146
2086: Timestep is 1.82146
2087: Timestep is 1.82146
1379: Timestep is 1.82146
1162: Timestep is 1.82146
993: Timestep is 1.82146
1663: Timestep is 1.82146
747: Timestep is 1.82146
492: Timestep is 1.82146
2088: Timestep is 1.82146
1380: Timestep is 1.82146
1164: Timestep is 1.82146
996: Timestep is 1.82146
1665: Timestep is 1.82146
748: Timestep is 1.82146
493: Timestep is 1.82146
2092: Timestep is 1.82146
1381: Timestep is 1.82146
1165: Timestep is 1.82146
998: Timestep is 1.82146
1667: Timestep is 1.82146
750: Timestep is 1.82146
494: Timestep is 1.82146
97: Timestep is 1.82146
1383: Timestep is 1.82146
1167: Timestep is 1.82146
1002: Timestep is 1.82146
1668: Timestep is 1.82146
753: Timestep is 1.82146
497: Timestep is 1.82146
99: Timestep is 1.82146
2098: Timestep is 1.82146
1384: Timestep is 1.82146
1168: Timestep is 1.82146
1004: Timestep is 1.82146
1670: Timestep is 1.82146
756: Timestep is 1.82146
498: Timestep is 1.82146
100: Timestep is 1.82146
1385: Timestep is 1.82146
1172: Timestep is 1.82146
1005: Timestep is 1.82146
1671: Timestep is 1.82146
101: Timestep is 1.82146
1173: Timestep is 1.82146
103: Timestep is 1.82146
106: Timestep is 1.82146
107: Timestep is 1.82146
2100: Timestep is 1.82146
1387: Timestep is 1.82146
1174: Timestep is 1.82146
1009: Timestep is 1.82146
1672: Timestep is 1.82146
775: Timestep is 1.82146
500: Timestep is 1.82146
2102: Timestep is 1.82146
1388: Timestep is 1.82146
1175: Timestep is 1.82146
1020: Timestep is 1.82146
1673: Timestep is 1.82146
777: Timestep is 1.82146
507: Timestep is 1.82146
2103: Timestep is 1.82146
1389: Timestep is 1.82146
1176: Timestep is 1.82146
1021: Timestep is 1.82146
1674: Timestep is 1.82146
784: Timestep is 1.82146
508: Timestep is 1.82146
1390: Timestep is 1.82146
1178: Timestep is 1.82146
1022: Timestep is 1.82146
1680: Timestep is 1.82146
789: Timestep is 1.82146
2104: Timestep is 1.82146
1392: Timestep is 1.82146
1179: Timestep is 1.82146
1027: Timestep is 1.82146
1681: Timestep is 1.82146
798: Timestep is 1.82146
513: Timestep is 1.82146
514: Timestep is 1.82146
2110: Timestep is 1.82146
1393: Timestep is 1.82146
1180: Timestep is 1.82146
1030: Timestep is 1.82146
1683: Timestep is 1.82146
799: Timestep is 1.82146
518: Timestep is 1.82146
2112: Timestep is 1.82146
1394: Timestep is 1.82146
1181: Timestep is 1.82146
1035: Timestep is 1.82146
1685: Timestep is 1.82146
801: Timestep is 1.82146
519: Timestep is 1.82146
2117: Timestep is 1.82146
1395: Timestep is 1.82146
1182: Timestep is 1.82146
1036: Timestep is 1.82146
1686: Timestep is 1.82146
520: Timestep is 1.82146
108: Timestep is 1.82146
2118: Timestep is 1.82146
110: Timestep is 1.82146
1398: Timestep is 1.82146
1184: Timestep is 1.82146
1037: Timestep is 1.82146
1687: Timestep is 1.82146
809: Timestep is 1.82146
521: Timestep is 1.82146
114: Timestep is 1.82146
115: Timestep is 1.82146
117: Timestep is 1.82146
119: Timestep is 1.82146
121: Timestep is 1.82146
2119: Timestep is 1.82146
1399: Timestep is 1.82146
1185: Timestep is 1.82146
1040: Timestep is 1.82146
1689: Timestep is 1.82146
810: Timestep is 1.82146
522: Timestep is 1.82146
1401: Timestep is 1.82146
1041: Timestep is 1.82146
1692: Timestep is 1.82146
545: Timestep is 1.82146
2121: Timestep is 1.82146
1403: Timestep is 1.82146
1186: Timestep is 1.82146
1045: Timestep is 1.82146
1693: Timestep is 1.82146
546: Timestep is 1.82146
527: Timestep is 1.82146
2123: Timestep is 1.82146
1189: Timestep is 1.82146
547: Timestep is 1.82146
530: Timestep is 1.82146
2124: Timestep is 1.82146
1190: Timestep is 1.82146
549: Timestep is 1.82146
533: Timestep is 1.82146
534: Timestep is 1.82146
2126: Timestep is 1.82146
1404: Timestep is 1.82146
1191: Timestep is 1.82146
1046: Timestep is 1.82146
1694: Timestep is 1.82146
550: Timestep is 1.82146
539: Timestep is 1.82146
123: Timestep is 1.82146
2131: Timestep is 1.82146
1405: Timestep is 1.82146
1050: Timestep is 1.82146
1695: Timestep is 1.82146
2135: Timestep is 1.82146
1406: Timestep is 1.82146
1051: Timestep is 1.82146
1696: Timestep is 1.82146
1408: Timestep is 1.82146
1697: Timestep is 1.82146
124: Timestep is 1.82146
128: Timestep is 1.82146
2136: Timestep is 1.82146
1409: Timestep is 1.82146
1192: Timestep is 1.82146
1054: Timestep is 1.82146
1698: Timestep is 1.82146
551: Timestep is 1.82146
278: Timestep is 1.82146
132: Timestep is 1.82146
2137: Timestep is 1.82146
552: Timestep is 1.82146
134: Timestep is 1.82146
2139: Timestep is 1.82146
1410: Timestep is 1.82146
1193: Timestep is 1.82146
1060: Timestep is 1.82146
1699: Timestep is 1.82146
553: Timestep is 1.82146
279: Timestep is 1.82146
135: Timestep is 1.82146
1194: Timestep is 1.82146
280: Timestep is 1.82146
136: Timestep is 1.82146
2145: Timestep is 1.82146
1068: Timestep is 1.82146
281: Timestep is 1.82146
2146: Timestep is 1.82146
1411: Timestep is 1.82146
1196: Timestep is 1.82146
1072: Timestep is 1.82146
1700: Timestep is 1.82146
554: Timestep is 1.82146
2148: Timestep is 1.82146
1412: Timestep is 1.82146
1197: Timestep is 1.82146
1074: Timestep is 1.82146
1701: Timestep is 1.82146
555: Timestep is 1.82146
1413: Timestep is 1.82146
1199: Timestep is 1.82146
1075: Timestep is 1.82146
1704: Timestep is 1.82146
556: Timestep is 1.82146
1414: Timestep is 1.82146
1203: Timestep is 1.82146
557: Timestep is 1.82146
1204: Timestep is 1.82146
558: Timestep is 1.82146
137: Timestep is 1.82146
2149: Timestep is 1.82146
1415: Timestep is 1.82146
1080: Timestep is 1.82146
1706: Timestep is 1.82146
283: Timestep is 1.82146
138: Timestep is 1.82146
1205: Timestep is 1.82146
559: Timestep is 1.82146
284: Timestep is 1.82146
139: Timestep is 1.82146
142: Timestep is 1.82146
143: Timestep is 1.82146
144: Timestep is 1.82146
145: Timestep is 1.82146
2151: Timestep is 1.82146
1416: Timestep is 1.82146
1206: Timestep is 1.82146
1081: Timestep is 1.82146
1709: Timestep is 1.82146
560: Timestep is 1.82146
285: Timestep is 1.82146
2153: Timestep is 1.82146
1417: Timestep is 1.82146
1207: Timestep is 1.82146
1082: Timestep is 1.82146
1713: Timestep is 1.82146
562: Timestep is 1.82146
286: Timestep is 1.82146
2155: Timestep is 1.82146
1418: Timestep is 1.82146
1083: Timestep is 1.82146
1714: Timestep is 1.82146
287: Timestep is 1.82146
2160: Timestep is 1.82146
1715: Timestep is 1.82146
288: Timestep is 1.82146
2162: Timestep is 1.82146
1717: Timestep is 1.82146
292: Timestep is 1.82146
293: Timestep is 1.82146
295: Timestep is 1.82146
2163: Timestep is 1.82146
1420: Timestep is 1.82146
1211: Timestep is 1.82146
817: Timestep is 1.82146
1718: Timestep is 1.82146
564: Timestep is 1.82146
296: Timestep is 1.82146
2165: Timestep is 1.82146
1421: Timestep is 1.82146
1213: Timestep is 1.82146
819: Timestep is 1.82146
1719: Timestep is 1.82146
569: Timestep is 1.82146
297: Timestep is 1.82146
146: Timestep is 1.82146
2172: Timestep is 1.82146
1422: Timestep is 1.82146
1218: Timestep is 1.82146
822: Timestep is 1.82146
1720: Timestep is 1.82146
1904: Timestep is 1.82146
1423: Timestep is 1.82146
1424: Timestep is 1.82146
149: Timestep is 1.82146
151: Timestep is 1.82146
1906: Timestep is 1.82146
570: Timestep is 1.82146
298: Timestep is 1.82146
152: Timestep is 1.82146
1220: Timestep is 1.82146
824: Timestep is 1.82146
1721: Timestep is 1.82146
571: Timestep is 1.82146
1222: Timestep is 1.82146
826: Timestep is 1.82146
574: Timestep is 1.82146
1223: Timestep is 1.82146
576: Timestep is 1.82146
153: Timestep is 1.82146
154: Timestep is 1.82146
1910: Timestep is 1.82146
1425: Timestep is 1.82146
1224: Timestep is 1.82146
827: Timestep is 1.82146
1723: Timestep is 1.82146
580: Timestep is 1.82146
299: Timestep is 1.82146
155: Timestep is 1.82146
300: Timestep is 1.82146
1912: Timestep is 1.82146
1426: Timestep is 1.82146
1913: Timestep is 1.82146
1427: Timestep is 1.82146
1226: Timestep is 1.82146
828: Timestep is 1.82146
1724: Timestep is 1.82146
582: Timestep is 1.82146
301: Timestep is 1.82146
1915: Timestep is 1.82146
1428: Timestep is 1.82146
1227: Timestep is 1.82146
829: Timestep is 1.82146
1725: Timestep is 1.82146
584: Timestep is 1.82146
306: Timestep is 1.82146
157: Timestep is 1.82146
1429: Timestep is 1.82146
1228: Timestep is 1.82146
831: Timestep is 1.82146
1726: Timestep is 1.82146
586: Timestep is 1.82146
308: Timestep is 1.82146
1430: Timestep is 1.82146
832: Timestep is 1.82146
587: Timestep is 1.82146
309: Timestep is 1.82146
833: Timestep is 1.82146
158: Timestep is 1.82146
159: Timestep is 1.82146
1917: Timestep is 1.82146
1431: Timestep is 1.82146
1231: Timestep is 1.82146
834: Timestep is 1.82146
1727: Timestep is 1.82146
589: Timestep is 1.82146
310: Timestep is 1.82146
161: Timestep is 1.82146
1918: Timestep is 1.82146
1433: Timestep is 1.82146
1232: Timestep is 1.82146
835: Timestep is 1.82146
1730: Timestep is 1.82146
1919: Timestep is 1.82146
1732: Timestep is 1.82146
165: Timestep is 1.82146
1435: Timestep is 1.82146
1233: Timestep is 1.82146
836: Timestep is 1.82146
1733: Timestep is 1.82146
591: Timestep is 1.82146
311: Timestep is 1.82146
1234: Timestep is 1.82146
1734: Timestep is 1.82146
592: Timestep is 1.82146
313: Timestep is 1.82146
1235: Timestep is 1.82146
1236: Timestep is 1.82146
1922: Timestep is 1.82146
1436: Timestep is 1.82146
1237: Timestep is 1.82146
837: Timestep is 1.82146
1735: Timestep is 1.82146
595: Timestep is 1.82146
314: Timestep is 1.82146
1923: Timestep is 1.82146
1437: Timestep is 1.82146
838: Timestep is 1.82146
1736: Timestep is 1.82146
596: Timestep is 1.82146
315: Timestep is 1.82146
1924: Timestep is 1.82146
1737: Timestep is 1.82146
166: Timestep is 1.82146
1439: Timestep is 1.82146
1239: Timestep is 1.82146
839: Timestep is 1.82146
597: Timestep is 1.82146
