0: output to qw.dmc.o
552: Timestep is 1.18783088235294
1940: Timestep is 1.18783088235294
1368: Timestep is 1.18783088235294
554: Timestep is 1.18783088235294
1111: Timestep is 1.18783088235294
1369: Timestep is 1.18783088235294
1636: Timestep is 1.18783088235294
827: Timestep is 1.18783088235294
1374: Timestep is 1.18783088235294
558: Timestep is 1.18783088235294
13: Timestep is 1.18783088235294
1113: Timestep is 1.18783088235294
1637: Timestep is 1.18783088235294
828: Timestep is 1.18783088235294
292: Timestep is 1.18783088235294
25: Timestep is 1.18783088235294
1114: Timestep is 1.18783088235294
1377: Timestep is 1.18783088235294
564: Timestep is 1.18783088235294
565: Timestep is 1.18783088235294
1638: Timestep is 1.18783088235294
294: Timestep is 1.18783088235294
1942: Timestep is 1.18783088235294
26: Timestep is 1.18783088235294
1115: Timestep is 1.18783088235294
830: Timestep is 1.18783088235294
1378: Timestep is 1.18783088235294
1639: Timestep is 1.18783088235294
297: Timestep is 1.18783088235294
27: Timestep is 1.18783088235294
1116: Timestep is 1.18783088235294
832: Timestep is 1.18783088235294
1640: Timestep is 1.18783088235294
299: Timestep is 1.18783088235294
28: Timestep is 1.18783088235294
833: Timestep is 1.18783088235294
300: Timestep is 1.18783088235294
36: Timestep is 1.18783088235294
834: Timestep is 1.18783088235294
305: Timestep is 1.18783088235294
1951: Timestep is 1.18783088235294
1379: Timestep is 1.18783088235294
43: Timestep is 1.18783088235294
314: Timestep is 1.18783088235294
1380: Timestep is 1.18783088235294
1952: Timestep is 1.18783088235294
567: Timestep is 1.18783088235294
1642: Timestep is 1.18783088235294
1953: Timestep is 1.18783088235294
1117: Timestep is 1.18783088235294
1384: Timestep is 1.18783088235294
568: Timestep is 1.18783088235294
1645: Timestep is 1.18783088235294
1119: Timestep is 1.18783088235294
1386: Timestep is 1.18783088235294
569: Timestep is 1.18783088235294
1647: Timestep is 1.18783088235294
1954: Timestep is 1.18783088235294
835: Timestep is 1.18783088235294
1387: Timestep is 1.18783088235294
1650: Timestep is 1.18783088235294
1955: Timestep is 1.18783088235294
1120: Timestep is 1.18783088235294
1390: Timestep is 1.18783088235294
1957: Timestep is 1.18783088235294
1391: Timestep is 1.18783088235294
570: Timestep is 1.18783088235294
1651: Timestep is 1.18783088235294
1652: Timestep is 1.18783088235294
1121: Timestep is 1.18783088235294
839: Timestep is 1.18783088235294
571: Timestep is 1.18783088235294
316: Timestep is 1.18783088235294
1958: Timestep is 1.18783088235294
44: Timestep is 1.18783088235294
1122: Timestep is 1.18783088235294
840: Timestep is 1.18783088235294
572: Timestep is 1.18783088235294
324: Timestep is 1.18783088235294
46: Timestep is 1.18783088235294
575: Timestep is 1.18783088235294
325: Timestep is 1.18783088235294
49: Timestep is 1.18783088235294
1123: Timestep is 1.18783088235294
841: Timestep is 1.18783088235294
326: Timestep is 1.18783088235294
50: Timestep is 1.18783088235294
1124: Timestep is 1.18783088235294
842: Timestep is 1.18783088235294
1396: Timestep is 1.18783088235294
328: Timestep is 1.18783088235294
1966: Timestep is 1.18783088235294
52: Timestep is 1.18783088235294
843: Timestep is 1.18783088235294
329: Timestep is 1.18783088235294
58: Timestep is 1.18783088235294
331: Timestep is 1.18783088235294
1397: Timestep is 1.18783088235294
1653: Timestep is 1.18783088235294
1970: Timestep is 1.18783088235294
576: Timestep is 1.18783088235294
1125: Timestep is 1.18783088235294
844: Timestep is 1.18783088235294
1398: Timestep is 1.18783088235294
578: Timestep is 1.18783088235294
1655: Timestep is 1.18783088235294
1971: Timestep is 1.18783088235294
1658: Timestep is 1.18783088235294
1972: Timestep is 1.18783088235294
1126: Timestep is 1.18783088235294
848: Timestep is 1.18783088235294
1399: Timestep is 1.18783088235294
579: Timestep is 1.18783088235294
1659: Timestep is 1.18783088235294
1976: Timestep is 1.18783088235294
1400: Timestep is 1.18783088235294
1662: Timestep is 1.18783088235294
1981: Timestep is 1.18783088235294
1130: Timestep is 1.18783088235294
1403: Timestep is 1.18783088235294
1664: Timestep is 1.18783088235294
1405: Timestep is 1.18783088235294
580: Timestep is 1.18783088235294
1665: Timestep is 1.18783088235294
1137: Timestep is 1.18783088235294
849: Timestep is 1.18783088235294
60: Timestep is 1.18783088235294
586: Timestep is 1.18783088235294
338: Timestep is 1.18783088235294
1982: Timestep is 1.18783088235294
64: Timestep is 1.18783088235294
1138: Timestep is 1.18783088235294
850: Timestep is 1.18783088235294
590: Timestep is 1.18783088235294
347: Timestep is 1.18783088235294
67: Timestep is 1.18783088235294
348: Timestep is 1.18783088235294
72: Timestep is 1.18783088235294
1139: Timestep is 1.18783088235294
854: Timestep is 1.18783088235294
349: Timestep is 1.18783088235294
73: Timestep is 1.18783088235294
1141: Timestep is 1.18783088235294
855: Timestep is 1.18783088235294
