0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
1656: Timestep is 1.80565
247: Timestep is 1.80565
705: Timestep is 1.80565
1270: Timestep is 1.80565
1001: Timestep is 1.80565
2053: Timestep is 1.80565
1657: Timestep is 1.80565
253: Timestep is 1.80565
1275: Timestep is 1.80565
1002: Timestep is 1.80565
2057: Timestep is 1.80565
1664: Timestep is 1.80565
254: Timestep is 1.80565
710: Timestep is 1.80565
1302: Timestep is 1.80565
1020: Timestep is 1.80565
2064: Timestep is 1.80565
1666: Timestep is 1.80565
1025: Timestep is 1.80565
2065: Timestep is 1.80565
1672: Timestep is 1.80565
715: Timestep is 1.80565
1597: Timestep is 1.80565
1309: Timestep is 1.80565
417: Timestep is 1.80565
1609: Timestep is 1.80565
1046: Timestep is 1.80565
2069: Timestep is 1.80565
420: Timestep is 1.80565
421: Timestep is 1.80565
427: Timestep is 1.80565
1629: Timestep is 1.80565
429: Timestep is 1.80565
1370: Timestep is 1.80565
3: Timestep is 1.80565
716: Timestep is 1.80565
1318: Timestep is 1.80565
442: Timestep is 1.80565
1051: Timestep is 1.80565
2071: Timestep is 1.80565
1675: Timestep is 1.80565
6: Timestep is 1.80565
724: Timestep is 1.80565
1372: Timestep is 1.80565
1330: Timestep is 1.80565
446: Timestep is 1.80565
1063: Timestep is 1.80565
8: Timestep is 1.80565
726: Timestep is 1.80565
1373: Timestep is 1.80565
1335: Timestep is 1.80565
1066: Timestep is 1.80565
2080: Timestep is 1.80565
1676: Timestep is 1.80565
11: Timestep is 1.80565
1375: Timestep is 1.80565
1354: Timestep is 1.80565
1070: Timestep is 1.80565
2082: Timestep is 1.80565
1678: Timestep is 1.80565
12: Timestep is 1.80565
752: Timestep is 1.80565
2084: Timestep is 1.80565
1681: Timestep is 1.80565
16: Timestep is 1.80565
1090: Timestep is 1.80565
1085: Timestep is 1.80565
1682: Timestep is 1.80565
18: Timestep is 1.80565
757: Timestep is 1.80565
1376: Timestep is 1.80565
454: Timestep is 1.80565
2096: Timestep is 1.80565
1683: Timestep is 1.80565
770: Timestep is 1.80565
1091: Timestep is 1.80565
455: Timestep is 1.80565
821: Timestep is 1.80565
19: Timestep is 1.80565
773: Timestep is 1.80565
1377: Timestep is 1.80565
1097: Timestep is 1.80565
822: Timestep is 1.80565
2098: Timestep is 1.80565
1686: Timestep is 1.80565
456: Timestep is 1.80565
1687: Timestep is 1.80565
1098: Timestep is 1.80565
21: Timestep is 1.80565
1381: Timestep is 1.80565
463: Timestep is 1.80565
1695: Timestep is 1.80565
824: Timestep is 1.80565
1698: Timestep is 1.80565
23: Timestep is 1.80565
778: Timestep is 1.80565
1389: Timestep is 1.80565
1099: Timestep is 1.80565
469: Timestep is 1.80565
2099: Timestep is 1.80565
26: Timestep is 1.80565
783: Timestep is 1.80565
1395: Timestep is 1.80565
825: Timestep is 1.80565
1701: Timestep is 1.80565
27: Timestep is 1.80565
786: Timestep is 1.80565
1396: Timestep is 1.80565
1102: Timestep is 1.80565
477: Timestep is 1.80565
827: Timestep is 1.80565
2112: Timestep is 1.80565
1702: Timestep is 1.80565
803: Timestep is 1.80565
1399: Timestep is 1.80565
1105: Timestep is 1.80565
486: Timestep is 1.80565
828: Timestep is 1.80565
2158: Timestep is 1.80565
1703: Timestep is 1.80565
1404: Timestep is 1.80565
1107: Timestep is 1.80565
508: Timestep is 1.80565
830: Timestep is 1.80565
2172: Timestep is 1.80565
807: Timestep is 1.80565
831: Timestep is 1.80565
2174: Timestep is 1.80565
1705: Timestep is 1.80565
547: Timestep is 1.80565
1110: Timestep is 1.80565
