0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
0: Timestep is 1.78963
274: Timestep is 1.78963
411: Timestep is 1.78963
140: Timestep is 1.78963
416: Timestep is 1.78963
348: Timestep is 1.78963
276: Timestep is 1.78963
205: Timestep is 1.78963
145: Timestep is 1.78963
476: Timestep is 1.78963
72: Timestep is 1.78963
417: Timestep is 1.78963
349: Timestep is 1.78963
277: Timestep is 1.78963
208: Timestep is 1.78963
148: Timestep is 1.78963
477: Timestep is 1.78963
78: Timestep is 1.78963
358: Timestep is 1.78963
278: Timestep is 1.78963
210: Timestep is 1.78963
149: Timestep is 1.78963
482: Timestep is 1.78963
79: Timestep is 1.78963
359: Timestep is 1.78963
279: Timestep is 1.78963
211: Timestep is 1.78963
151: Timestep is 1.78963
486: Timestep is 1.78963
88: Timestep is 1.78963
4: Timestep is 1.78963
363: Timestep is 1.78963
284: Timestep is 1.78963
216: Timestep is 1.78963
152: Timestep is 1.78963
488: Timestep is 1.78963
89: Timestep is 1.78963
364: Timestep is 1.78963
285: Timestep is 1.78963
217: Timestep is 1.78963
153: Timestep is 1.78963
492: Timestep is 1.78963
90: Timestep is 1.78963
366: Timestep is 1.78963
286: Timestep is 1.78963
218: Timestep is 1.78963
493: Timestep is 1.78963
92: Timestep is 1.78963
420: Timestep is 1.78963
367: Timestep is 1.78963
292: Timestep is 1.78963
219: Timestep is 1.78963
496: Timestep is 1.78963
93: Timestep is 1.78963
422: Timestep is 1.78963
370: Timestep is 1.78963
293: Timestep is 1.78963
220: Timestep is 1.78963
500: Timestep is 1.78963
98: Timestep is 1.78963
5: Timestep is 1.78963
423: Timestep is 1.78963
372: Timestep is 1.78963
296: Timestep is 1.78963
221: Timestep is 1.78963
501: Timestep is 1.78963
99: Timestep is 1.78963
424: Timestep is 1.78963
373: Timestep is 1.78963
297: Timestep is 1.78963
222: Timestep is 1.78963
503: Timestep is 1.78963
101: Timestep is 1.78963
15: Timestep is 1.78963
428: Timestep is 1.78963
375: Timestep is 1.78963
298: Timestep is 1.78963
223: Timestep is 1.78963
155: Timestep is 1.78963
504: Timestep is 1.78963
103: Timestep is 1.78963
16: Timestep is 1.78963
429: Timestep is 1.78963
383: Timestep is 1.78963
299: Timestep is 1.78963
160: Timestep is 1.78963
505: Timestep is 1.78963
104: Timestep is 1.78963
17: Timestep is 1.78963
430: Timestep is 1.78963
385: Timestep is 1.78963
301: Timestep is 1.78963
164: Timestep is 1.78963
508: Timestep is 1.78963
105: Timestep is 1.78963
18: Timestep is 1.78963
438: Timestep is 1.78963
386: Timestep is 1.78963
305: Timestep is 1.78963
224: Timestep is 1.78963
165: Timestep is 1.78963
509: Timestep is 1.78963
106: Timestep is 1.78963
440: Timestep is 1.78963
387: Timestep is 1.78963
308: Timestep is 1.78963
225: Timestep is 1.78963
169: Timestep is 1.78963
520: Timestep is 1.78963
107: Timestep is 1.78963
19: Timestep is 1.78963
458: Timestep is 1.78963
388: Timestep is 1.78963
226: Timestep is 1.78963
175: Timestep is 1.78963
521: Timestep is 1.78963
114: Timestep is 1.78963
20: Timestep is 1.78963
461: Timestep is 1.78963
401: Timestep is 1.78963
309: Timestep is 1.78963
228: Timestep is 1.78963
176: Timestep is 1.78963
115: Timestep is 1.78963
21: Timestep is 1.78963
463: Timestep is 1.78963
402: Timestep is 1.78963
312: Timestep is 1.78963
229: Timestep is 1.78963
181: Timestep is 1.78963
522: Timestep is 1.78963
116: Timestep is 1.78963
467: Timestep is 1.78963
404: Timestep is 1.78963
314: Timestep is 1.78963
230: Timestep is 1.78963
183: Timestep is 1.78963
524: Timestep is 1.78963
118: Timestep is 1.78963
24: Timestep is 1.78963
470: Timestep is 1.78963
406: Timestep is 1.78963
318: Timestep is 1.78963
231: Timestep is 1.78963
193: Timestep is 1.78963
527: Timestep is 1.78963
119: Timestep is 1.78963
25: Timestep is 1.78963
472: Timestep is 1.78963
340: Timestep is 1.78963
319: Timestep is 1.78963
235: Timestep is 1.78963
196: Timestep is 1.78963
529: Timestep is 1.78963
28: Timestep is 1.78963
473: Timestep is 1.78963
341: Timestep is 1.78963
322: Timestep is 1.78963
