0: output to qw.dmc.o
0: Timestep is 1.18707720588235
361: Timestep is 1.18707720588235
1634: Timestep is 1.18707720588235
547: Timestep is 1.18707720588235
1427: Timestep is 1.18707720588235
1975: Timestep is 1.18707720588235
1101: Timestep is 1.18707720588235
1: Timestep is 1.18707720588235
884: Timestep is 1.18707720588235
1633: Timestep is 1.18707720588235
1984: Timestep is 1.18707720588235
1554: Timestep is 1.18707720588235
4: Timestep is 1.18707720588235
2023: Timestep is 1.18707720588235
999: Timestep is 1.18707720588235
1639: Timestep is 1.18707720588235
1596: Timestep is 1.18707720588235
5: Timestep is 1.18707720588235
1022: Timestep is 1.18707720588235
1641: Timestep is 1.18707720588235
2030: Timestep is 1.18707720588235
1626: Timestep is 1.18707720588235
8: Timestep is 1.18707720588235
1642: Timestep is 1.18707720588235
2105: Timestep is 1.18707720588235
1360: Timestep is 1.18707720588235
13: Timestep is 1.18707720588235
1058: Timestep is 1.18707720588235
1174: Timestep is 1.18707720588235
549: Timestep is 1.18707720588235
272: Timestep is 1.18707720588235
1645: Timestep is 1.18707720588235
2109: Timestep is 1.18707720588235
1366: Timestep is 1.18707720588235
14: Timestep is 1.18707720588235
1063: Timestep is 1.18707720588235
1088: Timestep is 1.18707720588235
552: Timestep is 1.18707720588235
276: Timestep is 1.18707720588235
1646: Timestep is 1.18707720588235
2113: Timestep is 1.18707720588235
1368: Timestep is 1.18707720588235
1069: Timestep is 1.18707720588235
1089: Timestep is 1.18707720588235
553: Timestep is 1.18707720588235
278: Timestep is 1.18707720588235
1090: Timestep is 1.18707720588235
556: Timestep is 1.18707720588235
280: Timestep is 1.18707720588235
558: Timestep is 1.18707720588235
283: Timestep is 1.18707720588235
1647: Timestep is 1.18707720588235
2116: Timestep is 1.18707720588235
1370: Timestep is 1.18707720588235
16: Timestep is 1.18707720588235
1073: Timestep is 1.18707720588235
1091: Timestep is 1.18707720588235
566: Timestep is 1.18707720588235
288: Timestep is 1.18707720588235
1649: Timestep is 1.18707720588235
2127: Timestep is 1.18707720588235
1371: Timestep is 1.18707720588235
23: Timestep is 1.18707720588235
817: Timestep is 1.18707720588235
1093: Timestep is 1.18707720588235
567: Timestep is 1.18707720588235
290: Timestep is 1.18707720588235
52: Timestep is 1.18707720588235
1095: Timestep is 1.18707720588235
568: Timestep is 1.18707720588235
292: Timestep is 1.18707720588235
1372: Timestep is 1.18707720588235
818: Timestep is 1.18707720588235
1096: Timestep is 1.18707720588235
571: Timestep is 1.18707720588235
298: Timestep is 1.18707720588235
1654: Timestep is 1.18707720588235
2171: Timestep is 1.18707720588235
54: Timestep is 1.18707720588235
1097: Timestep is 1.18707720588235
576: Timestep is 1.18707720588235
300: Timestep is 1.18707720588235
1373: Timestep is 1.18707720588235
820: Timestep is 1.18707720588235
1102: Timestep is 1.18707720588235
301: Timestep is 1.18707720588235
1657: Timestep is 1.18707720588235
1904: Timestep is 1.18707720588235
302: Timestep is 1.18707720588235
58: Timestep is 1.18707720588235
577: Timestep is 1.18707720588235
1103: Timestep is 1.18707720588235
1374: Timestep is 1.18707720588235
821: Timestep is 1.18707720588235
1905: Timestep is 1.18707720588235
1662: Timestep is 1.18707720588235
66: Timestep is 1.18707720588235
579: Timestep is 1.18707720588235
1375: Timestep is 1.18707720588235
822: Timestep is 1.18707720588235
1906: Timestep is 1.18707720588235
1664: Timestep is 1.18707720588235
71: Timestep is 1.18707720588235
824: Timestep is 1.18707720588235
1380: Timestep is 1.18707720588235
1666: Timestep is 1.18707720588235
303: Timestep is 1.18707720588235
1668: Timestep is 1.18707720588235
1907: Timestep is 1.18707720588235
1382: Timestep is 1.18707720588235
75: Timestep is 1.18707720588235
825: Timestep is 1.18707720588235
1105: Timestep is 1.18707720588235
582: Timestep is 1.18707720588235
304: Timestep is 1.18707720588235
1670: Timestep is 1.18707720588235
1909: Timestep is 1.18707720588235
1389: Timestep is 1.18707720588235
77: Timestep is 1.18707720588235
830: Timestep is 1.18707720588235
1107: Timestep is 1.18707720588235
598: Timestep is 1.18707720588235
306: Timestep is 1.18707720588235
1673: Timestep is 1.18707720588235
1910: Timestep is 1.18707720588235
1392: Timestep is 1.18707720588235
79: Timestep is 1.18707720588235
831: Timestep is 1.18707720588235
1108: Timestep is 1.18707720588235
599: Timestep is 1.18707720588235
307: Timestep is 1.18707720588235
1674: Timestep is 1.18707720588235
1911: Timestep is 1.18707720588235
1393: Timestep is 1.18707720588235
83: Timestep is 1.18707720588235
832: Timestep is 1.18707720588235
1111: Timestep is 1.18707720588235
600: Timestep is 1.18707720588235
308: Timestep is 1.18707720588235
1914: Timestep is 1.18707720588235
1398: Timestep is 1.18707720588235
94: Timestep is 1.18707720588235
1112: Timestep is 1.18707720588235
603: Timestep is 1.18707720588235
311: Timestep is 1.18707720588235
1915: Timestep is 1.18707720588235
1403: Timestep is 1.18707720588235
105: Timestep is 1.18707720588235
833: Timestep is 1.18707720588235
1113: Timestep is 1.18707720588235
608: Timestep is 1.18707720588235
