0: output to qwalk.linear.o
Could not open qwalk.linear.config. Generating configurations from scratch
961: Timestep is 1.75633
68: Timestep is 1.75633
259: Timestep is 1.75633
132: Timestep is 1.75633
512: Timestep is 1.75633
652: Timestep is 1.75633
588: Timestep is 1.75633
455: Timestep is 1.75633
906: Timestep is 1.75633
832: Timestep is 1.75633
705: Timestep is 1.75633
769: Timestep is 1.75633
196: Timestep is 1.75633
322: Timestep is 1.75633
384: Timestep is 1.75633
975: Timestep is 1.75633
0: Timestep is 1.75633
69: Timestep is 1.75633
268: Timestep is 1.75633
149: Timestep is 1.75633
513: Timestep is 1.75633
658: Timestep is 1.75633
592: Timestep is 1.75633
457: Timestep is 1.75633
908: Timestep is 1.75633
838: Timestep is 1.75633
707: Timestep is 1.75633
775: Timestep is 1.75633
207: Timestep is 1.75633
323: Timestep is 1.75633
385: Timestep is 1.75633
976: Timestep is 1.75633
21: Timestep is 1.75633
71: Timestep is 1.75633
270: Timestep is 1.75633
151: Timestep is 1.75633
518: Timestep is 1.75633
659: Timestep is 1.75633
593: Timestep is 1.75633
463: Timestep is 1.75633
911: Timestep is 1.75633
840: Timestep is 1.75633
711: Timestep is 1.75633
779: Timestep is 1.75633
209: Timestep is 1.75633
330: Timestep is 1.75633
398: Timestep is 1.75633
979: Timestep is 1.75633
24: Timestep is 1.75633
74: Timestep is 1.75633
271: Timestep is 1.75633
152: Timestep is 1.75633
520: Timestep is 1.75633
667: Timestep is 1.75633
596: Timestep is 1.75633
464: Timestep is 1.75633
915: Timestep is 1.75633
841: Timestep is 1.75633
718: Timestep is 1.75633
784: Timestep is 1.75633
214: Timestep is 1.75633
331: Timestep is 1.75633
412: Timestep is 1.75633
980: Timestep is 1.75633
26: Timestep is 1.75633
75: Timestep is 1.75633
274: Timestep is 1.75633
160: Timestep is 1.75633
524: Timestep is 1.75633
671: Timestep is 1.75633
598: Timestep is 1.75633
470: Timestep is 1.75633
916: Timestep is 1.75633
845: Timestep is 1.75633
719: Timestep is 1.75633
787: Timestep is 1.75633
216: Timestep is 1.75633
340: Timestep is 1.75633
414: Timestep is 1.75633
990: Timestep is 1.75633
39: Timestep is 1.75633
78: Timestep is 1.75633
276: Timestep is 1.75633
162: Timestep is 1.75633
525: Timestep is 1.75633
673: Timestep is 1.75633
599: Timestep is 1.75633
474: Timestep is 1.75633
919: Timestep is 1.75633
850: Timestep is 1.75633
720: Timestep is 1.75633
788: Timestep is 1.75633
217: Timestep is 1.75633
348: Timestep is 1.75633
416: Timestep is 1.75633
991: Timestep is 1.75633
41: Timestep is 1.75633
79: Timestep is 1.75633
279: Timestep is 1.75633
164: Timestep is 1.75633
540: Timestep is 1.75633
675: Timestep is 1.75633
600: Timestep is 1.75633
476: Timestep is 1.75633
921: Timestep is 1.75633
852: Timestep is 1.75633
721: Timestep is 1.75633
792: Timestep is 1.75633
225: Timestep is 1.75633
354: Timestep is 1.75633
418: Timestep is 1.75633
992: Timestep is 1.75633
44: Timestep is 1.75633
80: Timestep is 1.75633
282: Timestep is 1.75633
165: Timestep is 1.75633
544: Timestep is 1.75633
679: Timestep is 1.75633
601: Timestep is 1.75633
479: Timestep is 1.75633
923: Timestep is 1.75633
854: Timestep is 1.75633
723: Timestep is 1.75633
798: Timestep is 1.75633
226: Timestep is 1.75633
357: Timestep is 1.75633
422: Timestep is 1.75633
993: Timestep is 1.75633
45: Timestep is 1.75633
82: Timestep is 1.75633
285: Timestep is 1.75633
168: Timestep is 1.75633
548: Timestep is 1.75633
680: Timestep is 1.75633
604: Timestep is 1.75633
483: Timestep is 1.75633
925: Timestep is 1.75633
855: Timestep is 1.75633
728: Timestep is 1.75633
803: Timestep is 1.75633
232: Timestep is 1.75633
360: Timestep is 1.75633
423: Timestep is 1.75633
994: Timestep is 1.75633
46: Timestep is 1.75633
84: Timestep is 1.75633
287: Timestep is 1.75633
170: Timestep is 1.75633
556: Timestep is 1.75633
681: Timestep is 1.75633
606: Timestep is 1.75633
485: Timestep is 1.75633
927: Timestep is 1.75633
858: Timestep is 1.75633
732: Timestep is 1.75633
804: Timestep is 1.75633
235: Timestep is 1.75633
363: Timestep is 1.75633
428: Timestep is 1.75633
995: Timestep is 1.75633
49: Timestep is 1.75633
88: Timestep is 1.75633
292: Timestep is 1.75633
177: Timestep is 1.75633
562: Timestep is 1.75633
682: Timestep is 1.75633
608: Timestep is 1.75633
