0: output to qw.dmc.o
1157: Timestep is 1.15784007352941
1770: Timestep is 1.15784007352941
627: Timestep is 1.15784007352941
62: Timestep is 1.15784007352941
1972: Timestep is 1.15784007352941
347: Timestep is 1.15784007352941
1161: Timestep is 1.15784007352941
1430: Timestep is 1.15784007352941
631: Timestep is 1.15784007352941
1973: Timestep is 1.15784007352941
353: Timestep is 1.15784007352941
894: Timestep is 1.15784007352941
1165: Timestep is 1.15784007352941
1434: Timestep is 1.15784007352941
1793: Timestep is 1.15784007352941
632: Timestep is 1.15784007352941
1441: Timestep is 1.15784007352941
638: Timestep is 1.15784007352941
1798: Timestep is 1.15784007352941
65: Timestep is 1.15784007352941
1976: Timestep is 1.15784007352941
354: Timestep is 1.15784007352941
899: Timestep is 1.15784007352941
1172: Timestep is 1.15784007352941
1442: Timestep is 1.15784007352941
1799: Timestep is 1.15784007352941
639: Timestep is 1.15784007352941
67: Timestep is 1.15784007352941
355: Timestep is 1.15784007352941
900: Timestep is 1.15784007352941
640: Timestep is 1.15784007352941
69: Timestep is 1.15784007352941
1984: Timestep is 1.15784007352941
903: Timestep is 1.15784007352941
1177: Timestep is 1.15784007352941
72: Timestep is 1.15784007352941
356: Timestep is 1.15784007352941
905: Timestep is 1.15784007352941
1443: Timestep is 1.15784007352941
642: Timestep is 1.15784007352941
908: Timestep is 1.15784007352941
1181: Timestep is 1.15784007352941
1996: Timestep is 1.15784007352941
357: Timestep is 1.15784007352941
1800: Timestep is 1.15784007352941
643: Timestep is 1.15784007352941
76: Timestep is 1.15784007352941
911: Timestep is 1.15784007352941
1184: Timestep is 1.15784007352941
1448: Timestep is 1.15784007352941
1807: Timestep is 1.15784007352941
644: Timestep is 1.15784007352941
77: Timestep is 1.15784007352941
1997: Timestep is 1.15784007352941
366: Timestep is 1.15784007352941
1813: Timestep is 1.15784007352941
646: Timestep is 1.15784007352941
78: Timestep is 1.15784007352941
2001: Timestep is 1.15784007352941
367: Timestep is 1.15784007352941
914: Timestep is 1.15784007352941
1185: Timestep is 1.15784007352941
1451: Timestep is 1.15784007352941
1814: Timestep is 1.15784007352941
647: Timestep is 1.15784007352941
2003: Timestep is 1.15784007352941
370: Timestep is 1.15784007352941
918: Timestep is 1.15784007352941
1188: Timestep is 1.15784007352941
1457: Timestep is 1.15784007352941
1815: Timestep is 1.15784007352941
652: Timestep is 1.15784007352941
2015: Timestep is 1.15784007352941
372: Timestep is 1.15784007352941
922: Timestep is 1.15784007352941
1190: Timestep is 1.15784007352941
1458: Timestep is 1.15784007352941
654: Timestep is 1.15784007352941
2016: Timestep is 1.15784007352941
374: Timestep is 1.15784007352941
923: Timestep is 1.15784007352941
1192: Timestep is 1.15784007352941
1460: Timestep is 1.15784007352941
1817: Timestep is 1.15784007352941
657: Timestep is 1.15784007352941
85: Timestep is 1.15784007352941
391: Timestep is 1.15784007352941
927: Timestep is 1.15784007352941
1194: Timestep is 1.15784007352941
1468: Timestep is 1.15784007352941
1824: Timestep is 1.15784007352941
658: Timestep is 1.15784007352941
392: Timestep is 1.15784007352941
929: Timestep is 1.15784007352941
1195: Timestep is 1.15784007352941
1825: Timestep is 1.15784007352941
408: Timestep is 1.15784007352941
931: Timestep is 1.15784007352941
1196: Timestep is 1.15784007352941
660: Timestep is 1.15784007352941
87: Timestep is 1.15784007352941
411: Timestep is 1.15784007352941
1197: Timestep is 1.15784007352941
1469: Timestep is 1.15784007352941
666: Timestep is 1.15784007352941
2019: Timestep is 1.15784007352941
932: Timestep is 1.15784007352941
1834: Timestep is 1.15784007352941
90: Timestep is 1.15784007352941
413: Timestep is 1.15784007352941
1199: Timestep is 1.15784007352941
1470: Timestep is 1.15784007352941
667: Timestep is 1.15784007352941
2020: Timestep is 1.15784007352941
416: Timestep is 1.15784007352941
