0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
72: Timestep is 1.74666
1490: Timestep is 1.74666
1157: Timestep is 1.74666
384: Timestep is 1.74666
74: Timestep is 1.74666
928: Timestep is 1.74666
1159: Timestep is 1.74666
1934: Timestep is 1.74666
75: Timestep is 1.74666
1163: Timestep is 1.74666
1759: Timestep is 1.74666
596: Timestep is 1.74666
78: Timestep is 1.74666
1164: Timestep is 1.74666
1938: Timestep is 1.74666
86: Timestep is 1.74666
1939: Timestep is 1.74666
1761: Timestep is 1.74666
1495: Timestep is 1.74666
930: Timestep is 1.74666
602: Timestep is 1.74666
1940: Timestep is 1.74666
386: Timestep is 1.74666
1508: Timestep is 1.74666
932: Timestep is 1.74666
1765: Timestep is 1.74666
605: Timestep is 1.74666
934: Timestep is 1.74666
1766: Timestep is 1.74666
608: Timestep is 1.74666
1944: Timestep is 1.74666
387: Timestep is 1.74666
1776: Timestep is 1.74666
613: Timestep is 1.74666
1946: Timestep is 1.74666
393: Timestep is 1.74666
1510: Timestep is 1.74666
1779: Timestep is 1.74666
614: Timestep is 1.74666
401: Timestep is 1.74666
935: Timestep is 1.74666
87: Timestep is 1.74666
1519: Timestep is 1.74666
1166: Timestep is 1.74666
1790: Timestep is 1.74666
403: Timestep is 1.74666
88: Timestep is 1.74666
1535: Timestep is 1.74666
941: Timestep is 1.74666
1169: Timestep is 1.74666
1959: Timestep is 1.74666
93: Timestep is 1.74666
944: Timestep is 1.74666
1171: Timestep is 1.74666
407: Timestep is 1.74666
945: Timestep is 1.74666
1172: Timestep is 1.74666
412: Timestep is 1.74666
1173: Timestep is 1.74666
99: Timestep is 1.74666
1175: Timestep is 1.74666
1970: Timestep is 1.74666
106: Timestep is 1.74666
1543: Timestep is 1.74666
946: Timestep is 1.74666
1793: Timestep is 1.74666
615: Timestep is 1.74666
418: Timestep is 1.74666
107: Timestep is 1.74666
1547: Timestep is 1.74666
947: Timestep is 1.74666
1797: Timestep is 1.74666
1975: Timestep is 1.74666
110: Timestep is 1.74666
1552: Timestep is 1.74666
952: Timestep is 1.74666
1810: Timestep is 1.74666
616: Timestep is 1.74666
1976: Timestep is 1.74666
425: Timestep is 1.74666
1553: Timestep is 1.74666
1813: Timestep is 1.74666
619: Timestep is 1.74666
1978: Timestep is 1.74666
439: Timestep is 1.74666
116: Timestep is 1.74666
1567: Timestep is 1.74666
953: Timestep is 1.74666
1178: Timestep is 1.74666
620: Timestep is 1.74666
1984: Timestep is 1.74666
117: Timestep is 1.74666
1829: Timestep is 1.74666
622: Timestep is 1.74666
1986: Timestep is 1.74666
446: Timestep is 1.74666
1568: Timestep is 1.74666
623: Timestep is 1.74666
1987: Timestep is 1.74666
118: Timestep is 1.74666
1595: Timestep is 1.74666
955: Timestep is 1.74666
1179: Timestep is 1.74666
1838: Timestep is 1.74666
628: Timestep is 1.74666
451: Timestep is 1.74666
956: Timestep is 1.74666
1180: Timestep is 1.74666
1852: Timestep is 1.74666
1997: Timestep is 1.74666
1181: Timestep is 1.74666
2004: Timestep is 1.74666
454: Timestep is 1.74666
1182: Timestep is 1.74666
2008: Timestep is 1.74666
470: Timestep is 1.74666
1183: Timestep is 1.74666
2009: Timestep is 1.74666
1185: Timestep is 1.74666
2010: Timestep is 1.74666
629: Timestep is 1.74666
2013: Timestep is 1.74666
2015: Timestep is 1.74666
124: Timestep is 1.74666
1611: Timestep is 1.74666
958: Timestep is 1.74666
1873: Timestep is 1.74666
634: Timestep is 1.74666
2020: Timestep is 1.74666
479: Timestep is 1.74666
129: Timestep is 1.74666
1628: Timestep is 1.74666
974: Timestep is 1.74666
1874: Timestep is 1.74666
635: Timestep is 1.74666
130: Timestep is 1.74666
1361: Timestep is 1.74666
977: Timestep is 1.74666
1876: Timestep is 1.74666
636: Timestep is 1.74666
2021: Timestep is 1.74666
481: Timestep is 1.74666
133: Timestep is 1.74666
1363: Timestep is 1.74666
978: Timestep is 1.74666
1188: Timestep is 1.74666
1892: Timestep is 1.74666
637: Timestep is 1.74666
492: Timestep is 1.74666
136: Timestep is 1.74666
1364: Timestep is 1.74666
639: Timestep is 1.74666
503: Timestep is 1.74666
137: Timestep is 1.74666
979: Timestep is 1.74666
1635: Timestep is 1.74666
640: Timestep is 1.74666
138: Timestep is 1.74666
1366: Timestep is 1.74666
983: Timestep is 1.74666
1189: Timestep is 1.74666
509: Timestep is 1.74666
1367: Timestep is 1.74666
1636: Timestep is 1.74666
1190: Timestep is 1.74666
1637: Timestep is 1.74666
517: Timestep is 1.74666
1192: Timestep is 1.74666
1638: Timestep is 1.74666
525: Timestep is 1.74666
1196: Timestep is 1.74666
2027: Timestep is 1.74666
538: Timestep is 1.74666
1197: Timestep is 1.74666
1198: Timestep is 1.74666
1199: Timestep is 1.74666
2028: Timestep is 1.74666
139: Timestep is 1.74666
1368: Timestep is 1.74666
986: Timestep is 1.74666
1640: Timestep is 1.74666
641: Timestep is 1.74666
2037: Timestep is 1.74666
