0: output to qw.linear.o
Could not open qw.linear.config. Generating configurations from scratch
652: Timestep is 2.07386
2066: Timestep is 2.07386
1491: Timestep is 2.07386
875: Timestep is 2.07386
117: Timestep is 2.07386
345: Timestep is 2.07386
1221: Timestep is 2.07386
1811: Timestep is 2.07386
653: Timestep is 2.07386
1494: Timestep is 2.07386
877: Timestep is 2.07386
122: Timestep is 2.07386
347: Timestep is 2.07386
1223: Timestep is 2.07386
1814: Timestep is 2.07386
2071: Timestep is 2.07386
1497: Timestep is 2.07386
125: Timestep is 2.07386
348: Timestep is 2.07386
1815: Timestep is 2.07386
2079: Timestep is 2.07386
131: Timestep is 2.07386
353: Timestep is 2.07386
1818: Timestep is 2.07386
885: Timestep is 2.07386
132: Timestep is 2.07386
354: Timestep is 2.07386
1230: Timestep is 2.07386
654: Timestep is 2.07386
2083: Timestep is 2.07386
1499: Timestep is 2.07386
140: Timestep is 2.07386
360: Timestep is 2.07386
1232: Timestep is 2.07386
1823: Timestep is 2.07386
656: Timestep is 2.07386
887: Timestep is 2.07386
361: Timestep is 2.07386
1249: Timestep is 2.07386
657: Timestep is 2.07386
2094: Timestep is 2.07386
1502: Timestep is 2.07386
888: Timestep is 2.07386
1251: Timestep is 2.07386
1833: Timestep is 2.07386
661: Timestep is 2.07386
2095: Timestep is 2.07386
1504: Timestep is 2.07386
889: Timestep is 2.07386
2098: Timestep is 2.07386
1507: Timestep is 2.07386
891: Timestep is 2.07386
1253: Timestep is 2.07386
662: Timestep is 2.07386
2100: Timestep is 2.07386
1520: Timestep is 2.07386
893: Timestep is 2.07386
1834: Timestep is 2.07386
663: Timestep is 2.07386
1521: Timestep is 2.07386
894: Timestep is 2.07386
1258: Timestep is 2.07386
1836: Timestep is 2.07386
364: Timestep is 2.07386
1264: Timestep is 2.07386
1843: Timestep is 2.07386
141: Timestep is 2.07386
374: Timestep is 2.07386
1851: Timestep is 2.07386
381: Timestep is 2.07386
143: Timestep is 2.07386
1861: Timestep is 2.07386
2102: Timestep is 2.07386
385: Timestep is 2.07386
145: Timestep is 2.07386
2107: Timestep is 2.07386
390: Timestep is 2.07386
147: Timestep is 2.07386
2108: Timestep is 2.07386
1522: Timestep is 2.07386
391: Timestep is 2.07386
664: Timestep is 2.07386
895: Timestep is 2.07386
150: Timestep is 2.07386
2114: Timestep is 2.07386
1525: Timestep is 2.07386
392: Timestep is 2.07386
896: Timestep is 2.07386
152: Timestep is 2.07386
666: Timestep is 2.07386
2122: Timestep is 2.07386
1534: Timestep is 2.07386
898: Timestep is 2.07386
155: Timestep is 2.07386
667: Timestep is 2.07386
2132: Timestep is 2.07386
1540: Timestep is 2.07386
1275: Timestep is 2.07386
899: Timestep is 2.07386
682: Timestep is 2.07386
1541: Timestep is 2.07386
1289: Timestep is 2.07386
902: Timestep is 2.07386
1866: Timestep is 2.07386
685: Timestep is 2.07386
1547: Timestep is 2.07386
1297: Timestep is 2.07386
904: Timestep is 2.07386
686: Timestep is 2.07386
1560: Timestep is 2.07386
1299: Timestep is 2.07386
1871: Timestep is 2.07386
690: Timestep is 2.07386
160: Timestep is 2.07386
396: Timestep is 2.07386
1300: Timestep is 2.07386
1900: Timestep is 2.07386
2134: Timestep is 2.07386
905: Timestep is 2.07386
166: Timestep is 2.07386
398: Timestep is 2.07386
1319: Timestep is 2.07386
